"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Colorado"	"08"	"Large Central Metro"	"1"			1316	9869	13334.7
	"Colorado"	"08"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	3422	24904	13740.8
"Total"	"Colorado"	"08"	"Large Fringe Metro"	"2"			3422	24904	13740.8
	"Colorado"	"08"	"Medium Metro"	"3"	"85+ years"	"85+"	2769	20399	13574.2
"Total"	"Colorado"	"08"	"Medium Metro"	"3"			2769	20399	13574.2
	"Colorado"	"08"	"Small Metro"	"4"	"85+ years"	"85+"	950	6862	13844.4
"Total"	"Colorado"	"08"	"Small Metro"	"4"			950	6862	13844.4
	"Colorado"	"08"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	690	5391	12799.1
"Total"	"Colorado"	"08"	"Micropolitan (non-metro)"	"5"			690	5391	12799.1
	"Colorado"	"08"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	943	6372	14799.1
"Total"	"Colorado"	"08"	"NonCore (non-metro)"	"6"			943	6372	14799.1
"Total"	"Colorado"	"08"					10090	73797	13672.6
	"Connecticut"	"09"	"Large Central Metro"	"1"	"85+ years"	"85+"	3289	23329	14098.3
"Total"	"Connecticut"	"09"	"Large Central Metro"	"1"			3289	23329	14098.3
	"Connecticut"	"09"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	992	6870	14439.6
"Total"	"Connecticut"	"09"	"Large Fringe Metro"	"2"			992	6870	14439.6
	"Connecticut"	"09"	"Medium Metro"	"3"	"85+ years"	"85+"	6853	52068	13161.6
"Total"	"Connecticut"	"09"	"Medium Metro"	"3"			6853	52068	13161.6
	"Connecticut"	"09"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	691	4932	14010.5
"Total"	"Connecticut"	"09"	"Micropolitan (non-metro)"	"5"			691	4932	14010.5
"Total"	"Connecticut"	"09"					11825	87199	13560.9
	"Delaware"	"10"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1273	9461	13455.2
"Total"	"Delaware"	"10"	"Large Fringe Metro"	"2"			1273	9461	13455.2
	"Delaware"	"10"	"Medium Metro"	"3"	"85+ years"	"85+"	603	4304	14010.2
"Total"	"Delaware"	"10"	"Medium Metro"	"3"			603	4304	14010.2
	"Delaware"	"10"	"Small Metro"	"4"	"85+ years"	"85+"	360	2467	14592.6
"Total"	"Delaware"	"10"	"Small Metro"	"4"			360	2467	14592.6
"Total"	"Delaware"	"10"					2236	16232	13775.3
	"District of Columbia"	"11"	"Large Central Metro"	"1"	"85+ years"	"85+"	1235	10616	11633.4
"Total"	"District of Columbia"	"11"	"Large Central Metro"	"1"			1235	10616	11633.4
"Total"	"District of Columbia"	"11"					1235	10616	11633.4
	"Florida"	"12"	"Large Central Metro"	"1"	"85+ years"	"85+"	16266	131497	12369.9
"Total"	"Florida"	"12"	"Large Central Metro"	"1"			16266	131497	12369.9
	"Florida"	"12"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	16629	143575	11582.1
"Total"	"Florida"	"12"	"Large Fringe Metro"	"2"			16629	143575	11582.1
	"Florida"	"12"	"Medium Metro"	"3"	"85+ years"	"85+"	17377	146475	11863.5
"Total"	"Florida"	"12"	"Medium Metro"	"3"			17377	146475	11863.5
	"Florida"	"12"	"Small Metro"	"4"	"85+ years"	"85+"	4020	33275	12081.1
"Total"	"Florida"	"12"	"Small Metro"	"4"			4020	33275	12081.1
	"Florida"	"12"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	820	6394	12824.5
"Total"	"Florida"	"12"	"Micropolitan (non-metro)"	"5"			820	6394	12824.5
	"Florida"	"12"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	873	6175	14137.7
"Total"	"Florida"	"12"	"NonCore (non-metro)"	"6"			873	6175	14137.7
"Total"	"Florida"	"12"					55985	467391	11978.2
	"Georgia"	"13"	"Large Central Metro"	"1"	"85+ years"	"85+"	1605	11967	13411.9
"Total"	"Georgia"	"13"	"Large Central Metro"	"1"			1605	11967	13411.9
	"Georgia"	"13"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	6314	42760	14766.1
"Total"	"Georgia"	"13"	"Large Fringe Metro"	"2"			6314	42760	14766.1
	"Georgia"	"13"	"Medium Metro"	"3"	"85+ years"	"85+"	2302	15835	14537.4
"Total"	"Georgia"	"13"	"Medium Metro"	"3"			2302	15835	14537.4
	"Georgia"	"13"	"Small Metro"	"4"	"85+ years"	"85+"	2986	20037	14902.4
"Total"	"Georgia"	"13"	"Small Metro"	"4"			2986	20037	14902.4
	"Georgia"	"13"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2414	14983	16111.6
"Total"	"Georgia"	"13"	"Micropolitan (non-metro)"	"5"			2414	14983	16111.6
	"Georgia"	"13"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2006	13666	14678.8
"Total"	"Georgia"	"13"	"NonCore (non-metro)"	"6"			2006	13666	14678.8
"Total"	"Georgia"	"13"					17627	119248	14781.8
	"Hawaii"	"15"	"Medium Metro"	"3"	"85+ years"	"85+"	2594	24241	10700.9
"Total"	"Hawaii"	"15"	"Medium Metro"	"3"			2594	24241	10700.9
	"Hawaii"	"15"	"Small Metro"	"4"	"85+ years"	"85+"	297	2869	10352.0
"Total"	"Hawaii"	"15"	"Small Metro"	"4"			297	2869	10352.0
	"Hawaii"	"15"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	601	5588	10755.2
"Total"	"Hawaii"	"15"	"Micropolitan (non-metro)"	"5"			601	5588	10755.2
"Total"	"Hawaii"	"15"					3492	32698	10679.6
	"Idaho"	"16"	"Medium Metro"	"3"	"85+ years"	"85+"	1484	9664	15356.0
"Total"	"Idaho"	"16"	"Medium Metro"	"3"			1484	9664	15356.0
	"Idaho"	"16"	"Small Metro"	"4"	"85+ years"	"85+"	1151	7317	15730.5
"Total"	"Idaho"	"16"	"Small Metro"	"4"			1151	7317	15730.5
	"Idaho"	"16"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1026	6223	16487.2
"Total"	"Idaho"	"16"	"Micropolitan (non-metro)"	"5"			1026	6223	16487.2
	"Idaho"	"16"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	445	2980	14932.9
"Total"	"Idaho"	"16"	"NonCore (non-metro)"	"6"			445	2980	14932.9
"Total"	"Idaho"	"16"					4106	26184	15681.3
	"Illinois"	"17"	"Large Central Metro"	"1"	"85+ years"	"85+"	12209	94234	12956.0
"Total"	"Illinois"	"17"	"Large Central Metro"	"1"			12209	94234	12956.0
	"Illinois"	"17"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	9155	63696	14373.0
"Total"	"Illinois"	"17"	"Large Fringe Metro"	"2"			9155	63696	14373.0
	"Illinois"	"17"	"Medium Metro"	"3"	"85+ years"	"85+"	2972	21455	13852.2
"Total"	"Illinois"	"17"	"Medium Metro"	"3"			2972	21455	13852.2
	"Illinois"	"17"	"Small Metro"	"4"	"85+ years"	"85+"	3053	21587	14142.8
"Total"	"Illinois"	"17"	"Small Metro"	"4"			3053	21587	14142.8
	"Illinois"	"17"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	3607	24947	14458.7
"Total"	"Illinois"	"17"	"Micropolitan (non-metro)"	"5"			3607	24947	14458.7
	"Illinois"	"17"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2511	16994	14775.8
"Total"	"Illinois"	"17"	"NonCore (non-metro)"	"6"			2511	16994	14775.8
"Total"	"Illinois"	"17"					33507	242913	13793.8
	"Indiana"	"18"	"Large Central Metro"	"1"	"85+ years"	"85+"	1974	14413	13696.0
"Total"	"Indiana"	"18"	"Large Central Metro"	"1"			1974	14413	13696.0
	"Indiana"	"18"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	5175	33459	15466.7
"Total"	"Indiana"	"18"	"Large Fringe Metro"	"2"			5175	33459	15466.7
	"Indiana"	"18"	"Medium Metro"	"3"	"85+ years"	"85+"	2787	19810	14068.7
"Total"	"Indiana"	"18"	"Medium Metro"	"3"			2787	19810	14068.7
	"Indiana"	"18"	"Small Metro"	"4"	"85+ years"	"85+"	3089	20859	14809.0
"Total"	"Indiana"	"18"	"Small Metro"	"4"			3089	20859	14809.0
	"Indiana"	"18"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	3188	21688	14699.4
"Total"	"Indiana"	"18"	"Micropolitan (non-metro)"	"5"			3188	21688	14699.4
	"Indiana"	"18"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1375	9549	14399.4
"Total"	"Indiana"	"18"	"NonCore (non-metro)"	"6"			1375	9549	14399.4
"Total"	"Indiana"	"18"					17588	119778	14683.8
	"Iowa"	"19"	"Medium Metro"	"3"	"85+ years"	"85+"	3000	21560	13914.7
"Total"	"Iowa"	"19"	"Medium Metro"	"3"			3000	21560	13914.7
	"Iowa"	"19"	"Small Metro"	"4"	"85+ years"	"85+"	1821	13130	13869.0
"Total"	"Iowa"	"19"	"Small Metro"	"4"			1821	13130	13869.0
	"Iowa"	"19"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2124	14191	14967.2
"Total"	"Iowa"	"19"	"Micropolitan (non-metro)"	"5"			2124	14191	14967.2
	"Iowa"	"19"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	3852	27777	13867.6
"Total"	"Iowa"	"19"	"NonCore (non-metro)"	"6"			3852	27777	13867.6
"Total"	"Iowa"	"19"					10797	76658	14084.6
	"Kansas"	"20"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2028	14318	14164.0
"Total"	"Kansas"	"20"	"Large Fringe Metro"	"2"			2028	14318	14164.0
	"Kansas"	"20"	"Medium Metro"	"3"	"85+ years"	"85+"	1768	12004	14728.4
"Total"	"Kansas"	"20"	"Medium Metro"	"3"			1768	12004	14728.4
	"Kansas"	"20"	"Small Metro"	"4"	"85+ years"	"85+"	1113	8419	13220.1
"Total"	"Kansas"	"20"	"Small Metro"	"4"			1113	8419	13220.1
	"Kansas"	"20"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1957	12869	15207.1
"Total"	"Kansas"	"20"	"Micropolitan (non-metro)"	"5"			1957	12869	15207.1
	"Kansas"	"20"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2094	13796	15178.3
"Total"	"Kansas"	"20"	"NonCore (non-metro)"	"6"			2094	13796	15178.3
"Total"	"Kansas"	"20"					8960	61406	14591.4
	"Kentucky"	"21"	"Large Central Metro"	"1"	"85+ years"	"85+"	2123	14740	14403.0
"Total"	"Kentucky"	"21"	"Large Central Metro"	"1"			2123	14740	14403.0
	"Kentucky"	"21"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1257	8173	15379.9
"Total"	"Kentucky"	"21"	"Large Fringe Metro"	"2"			1257	8173	15379.9
	"Kentucky"	"21"	"Medium Metro"	"3"	"85+ years"	"85+"	1624	11001	14762.3
"Total"	"Kentucky"	"21"	"Medium Metro"	"3"			1624	11001	14762.3
	"Kentucky"	"21"	"Small Metro"	"4"	"85+ years"	"85+"	1035	6696	15457.0
"Total"	"Kentucky"	"21"	"Small Metro"	"4"			1035	6696	15457.0
	"Kentucky"	"21"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2273	14610	15557.8
"Total"	"Kentucky"	"21"	"Micropolitan (non-metro)"	"5"			2273	14610	15557.8
	"Kentucky"	"21"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2649	16253	16298.5
"Total"	"Kentucky"	"21"	"NonCore (non-metro)"	"6"			2649	16253	16298.5
"Total"	"Kentucky"	"21"					10961	71473	15335.9
	"Louisiana"	"22"	"Large Central Metro"	"1"	"85+ years"	"85+"	690	5448	12665.2
"Total"	"Louisiana"	"22"	"Large Central Metro"	"1"			690	5448	12665.2
	"Louisiana"	"22"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1923	13859	13875.5
"Total"	"Louisiana"	"22"	"Large Fringe Metro"	"2"			1923	13859	13875.5
	"Louisiana"	"22"	"Medium Metro"	"3"	"85+ years"	"85+"	3747	24523	15279.5
"Total"	"Louisiana"	"22"	"Medium Metro"	"3"			3747	24523	15279.5
	"Louisiana"	"22"	"Small Metro"	"4"	"85+ years"	"85+"	1902	12339	15414.5
"Total"	"Louisiana"	"22"	"Small Metro"	"4"			1902	12339	15414.5
	"Louisiana"	"22"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1001	5962	16789.7
"Total"	"Louisiana"	"22"	"Micropolitan (non-metro)"	"5"			1001	5962	16789.7
	"Louisiana"	"22"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1003	6373	15738.3
"Total"	"Louisiana"	"22"	"NonCore (non-metro)"	"6"			1003	6373	15738.3
"Total"	"Louisiana"	"22"					10266	68504	14986.0
	"Maine"	"23"	"Medium Metro"	"3"	"85+ years"	"85+"	1696	11575	14652.3
"Total"	"Maine"	"23"	"Medium Metro"	"3"			1696	11575	14652.3
	"Maine"	"23"	"Small Metro"	"4"	"85+ years"	"85+"	767	5232	14659.8
"Total"	"Maine"	"23"	"Small Metro"	"4"			767	5232	14659.8
	"Maine"	"23"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	417	2704	15421.6
"Total"	"Maine"	"23"	"Micropolitan (non-metro)"	"5"			417	2704	15421.6
	"Maine"	"23"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1529	10290	14859.1
"Total"	"Maine"	"23"	"NonCore (non-metro)"	"6"			1529	10290	14859.1
"Total"	"Maine"	"23"					4409	29801	14794.8
	"Maryland"	"24"	"Large Central Metro"	"1"	"85+ years"	"85+"	1385	10349	13382.9
"Total"	"Maryland"	"24"	"Large Central Metro"	"1"			1385	10349	13382.9
	"Maryland"	"24"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	10242	77928	13142.9
"Total"	"Maryland"	"24"	"Large Fringe Metro"	"2"			10242	77928	13142.9
	"Maryland"	"24"	"Medium Metro"	"3"	"85+ years"	"85+"	970	6787	14292.0
"Total"	"Maryland"	"24"	"Medium Metro"	"3"			970	6787	14292.0
	"Maryland"	"24"	"Small Metro"	"4"	"85+ years"	"85+"	501	3345	14977.6
"Total"	"Maryland"	"24"	"Small Metro"	"4"			501	3345	14977.6
	"Maryland"	"24"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	277	2078	13330.1
"Total"	"Maryland"	"24"	"Micropolitan (non-metro)"	"5"			277	2078	13330.1
	"Maryland"	"24"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	260	1921	13534.6
"Total"	"Maryland"	"24"	"NonCore (non-metro)"	"6"			260	1921	13534.6
"Total"	"Maryland"	"24"					13635	102408	13314.4
	"Massachusetts"	"25"	"Large Central Metro"	"1"	"85+ years"	"85+"	1506	11649	12928.1
"Total"	"Massachusetts"	"25"	"Large Central Metro"	"1"			1506	11649	12928.1
	"Massachusetts"	"25"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	12537	90534	13847.8
"Total"	"Massachusetts"	"25"	"Large Fringe Metro"	"2"			12537	90534	13847.8
	"Massachusetts"	"25"	"Medium Metro"	"3"	"85+ years"	"85+"	4596	32766	14026.7
"Total"	"Massachusetts"	"25"	"Medium Metro"	"3"			4596	32766	14026.7
	"Massachusetts"	"25"	"Small Metro"	"4"	"85+ years"	"85+"	1800	12764	14102.2
"Total"	"Massachusetts"	"25"	"Small Metro"	"4"			1800	12764	14102.2
	"Massachusetts"	"25"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	323	2185	14782.6
"Total"	"Massachusetts"	"25"	"Micropolitan (non-metro)"	"5"			323	2185	14782.6
	"Massachusetts"	"25"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	28	181	15469.6
"Total"	"Massachusetts"	"25"	"NonCore (non-metro)"	"6"			28	181	15469.6
"Total"	"Massachusetts"	"25"					20790	150079	13852.7
	"Michigan"	"26"	"Large Central Metro"	"1"	"85+ years"	"85+"	6413	46471	13800.0
"Total"	"Michigan"	"26"	"Large Central Metro"	"1"			6413	46471	13800.0
	"Michigan"	"26"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	8337	58257	14310.7
"Total"	"Michigan"	"26"	"Large Fringe Metro"	"2"			8337	58257	14310.7
	"Michigan"	"26"	"Medium Metro"	"3"	"85+ years"	"85+"	3986	27827	14324.2
"Total"	"Michigan"	"26"	"Medium Metro"	"3"			3986	27827	14324.2
	"Michigan"	"26"	"Small Metro"	"4"	"85+ years"	"85+"	3709	25744	14407.2
"Total"	"Michigan"	"26"	"Small Metro"	"4"			3709	25744	14407.2
	"Michigan"	"26"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	3676	23999	15317.3
"Total"	"Michigan"	"26"	"Micropolitan (non-metro)"	"5"			3676	23999	15317.3
	"Michigan"	"26"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2464	16957	14530.9
"Total"	"Michigan"	"26"	"NonCore (non-metro)"	"6"			2464	16957	14530.9
"Total"	"Michigan"	"26"					28585	199255	14345.9
	"Minnesota"	"27"	"Large Central Metro"	"1"	"85+ years"	"85+"	4529	33651	13458.7
"Total"	"Minnesota"	"27"	"Large Central Metro"	"1"			4529	33651	13458.7
	"Minnesota"	"27"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2978	20736	14361.5
"Total"	"Minnesota"	"27"	"Large Fringe Metro"	"2"			2978	20736	14361.5
	"Minnesota"	"27"	"Medium Metro"	"3"	"85+ years"	"85+"	941	6124	15365.8
"Total"	"Minnesota"	"27"	"Medium Metro"	"3"			941	6124	15365.8
	"Minnesota"	"27"	"Small Metro"	"4"	"85+ years"	"85+"	1721	13161	13076.5
"Total"	"Minnesota"	"27"	"Small Metro"	"4"			1721	13161	13076.5
	"Minnesota"	"27"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2515	18437	13641.0
"Total"	"Minnesota"	"27"	"Micropolitan (non-metro)"	"5"			2515	18437	13641.0
	"Minnesota"	"27"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2562	18505	13844.9
"Total"	"Minnesota"	"27"	"NonCore (non-metro)"	"6"			2562	18505	13844.9
"Total"	"Minnesota"	"27"					15246	110614	13783.1
	"Mississippi"	"28"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	429	2849	15057.9
"Total"	"Mississippi"	"28"	"Large Fringe Metro"	"2"			429	2849	15057.9
	"Mississippi"	"28"	"Medium Metro"	"3"	"85+ years"	"85+"	1981	12957	15289.0
"Total"	"Mississippi"	"28"	"Medium Metro"	"3"			1981	12957	15289.0
	"Mississippi"	"28"	"Small Metro"	"4"	"85+ years"	"85+"	300	1953	15361.0
"Total"	"Mississippi"	"28"	"Small Metro"	"4"			300	1953	15361.0
	"Mississippi"	"28"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2508	15933	15740.9
"Total"	"Mississippi"	"28"	"Micropolitan (non-metro)"	"5"			2508	15933	15740.9
	"Mississippi"	"28"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1850	11746	15750.0
"Total"	"Mississippi"	"28"	"NonCore (non-metro)"	"6"			1850	11746	15750.0
"Total"	"Mississippi"	"28"					7068	45438	15555.3
	"Missouri"	"29"	"Large Central Metro"	"1"	"85+ years"	"85+"	2393	17685	13531.2
"Total"	"Missouri"	"29"	"Large Central Metro"	"1"			2393	17685	13531.2
	"Missouri"	"29"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	6142	43792	14025.4
"Total"	"Missouri"	"29"	"Large Fringe Metro"	"2"			6142	43792	14025.4
	"Missouri"	"29"	"Medium Metro"	"3"	"85+ years"	"85+"	1249	8900	14033.7
"Total"	"Missouri"	"29"	"Medium Metro"	"3"			1249	8900	14033.7
	"Missouri"	"29"	"Small Metro"	"4"	"85+ years"	"85+"	1869	12929	14455.9
"Total"	"Missouri"	"29"	"Small Metro"	"4"			1869	12929	14455.9
	"Missouri"	"29"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2066	13954	14805.8
"Total"	"Missouri"	"29"	"Micropolitan (non-metro)"	"5"			2066	13954	14805.8
	"Missouri"	"29"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	3202	20339	15743.2
"Total"	"Missouri"	"29"	"NonCore (non-metro)"	"6"			3202	20339	15743.2
"Total"	"Missouri"	"29"					16921	117599	14388.7
	"Montana"	"30"	"Small Metro"	"4"	"85+ years"	"85+"	1017	7167	14190.0
"Total"	"Montana"	"30"	"Small Metro"	"4"			1017	7167	14190.0
	"Montana"	"30"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	783	5340	14662.9
"Total"	"Montana"	"30"	"Micropolitan (non-metro)"	"5"			783	5340	14662.9
	"Montana"	"30"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1206	8228	14657.3
"Total"	"Montana"	"30"	"NonCore (non-metro)"	"6"			1206	8228	14657.3
"Total"	"Montana"	"30"					3006	20735	14497.2
	"Nebraska"	"31"	"Medium Metro"	"3"	"85+ years"	"85+"	2374	16768	14157.9
"Total"	"Nebraska"	"31"	"Medium Metro"	"3"			2374	16768	14157.9
	"Nebraska"	"31"	"Small Metro"	"4"	"85+ years"	"85+"	390	2509	15544.0
"Total"	"Nebraska"	"31"	"Small Metro"	"4"			390	2509	15544.0
	"Nebraska"	"31"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1288	8836	14576.7
"Total"	"Nebraska"	"31"	"Micropolitan (non-metro)"	"5"			1288	8836	14576.7
	"Nebraska"	"31"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1755	12405	14147.5
"Total"	"Nebraska"	"31"	"NonCore (non-metro)"	"6"			1755	12405	14147.5
"Total"	"Nebraska"	"31"					5807	40518	14331.9
	"Nevada"	"32"	"Large Central Metro"	"1"	"85+ years"	"85+"	2933	21661	13540.5
"Total"	"Nevada"	"32"	"Large Central Metro"	"1"			2933	21661	13540.5
	"Nevada"	"32"	"Medium Metro"	"3"	"85+ years"	"85+"	917	6091	15055.0
"Total"	"Nevada"	"32"	"Medium Metro"	"3"			917	6091	15055.0
	"Nevada"	"32"	"Small Metro"	"4"	"85+ years"	"85+"	212	1366	15519.8
"Total"	"Nevada"	"32"	"Small Metro"	"4"			212	1366	15519.8
