"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Central Metro"	"1"	"85+ years"	"85+"	1855	12855	14430.2
"Total"	"Alabama"	"01"	"Large Central Metro"	"1"			1855	12855	14430.2
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1008	5924	17015.5
"Total"	"Alabama"	"01"	"Large Fringe Metro"	"2"			1008	5924	17015.5
	"Alabama"	"01"	"Medium Metro"	"3"	"85+ years"	"85+"	2821	18551	15206.7
"Total"	"Alabama"	"01"	"Medium Metro"	"3"			2821	18551	15206.7
	"Alabama"	"01"	"Small Metro"	"4"	"85+ years"	"85+"	3245	19998	16226.6
"Total"	"Alabama"	"01"	"Small Metro"	"4"			3245	19998	16226.6
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1409	8489	16598.0
"Total"	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"			1409	8489	16598.0
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1955	11926	16392.8
"Total"	"Alabama"	"01"	"NonCore (non-metro)"	"6"			1955	11926	16392.8
"Total"	"Alabama"	"01"					12293	77743	15812.4
	"Alaska"	"02"	"Medium Metro"	"3"	"85+ years"	"85+"	358	2707	13225.0
"Total"	"Alaska"	"02"	"Medium Metro"	"3"			358	2707	13225.0
	"Alaska"	"02"	"Small Metro"	"4"	"85+ years"	"85+"	73	558	13082.4
"Total"	"Alaska"	"02"	"Small Metro"	"4"			73	558	13082.4
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	60	440	13636.4
"Total"	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"			60	440	13636.4
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	175	1389	12599.0
"Total"	"Alaska"	"02"	"NonCore (non-metro)"	"6"			175	1389	12599.0
"Total"	"Alaska"	"02"					666	5094	13074.2
	"Arizona"	"04"	"Large Central Metro"	"1"	"85+ years"	"85+"	8142	62675	12990.8
"Total"	"Arizona"	"04"	"Large Central Metro"	"1"			8142	62675	12990.8
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	513	4277	11994.4
"Total"	"Arizona"	"04"	"Large Fringe Metro"	"2"			513	4277	11994.4
	"Arizona"	"04"	"Medium Metro"	"3"	"85+ years"	"85+"	2708	21147	12805.6
"Total"	"Arizona"	"04"	"Medium Metro"	"3"			2708	21147	12805.6
	"Arizona"	"04"	"Small Metro"	"4"	"85+ years"	"85+"	2272	17162	13238.6
"Total"	"Arizona"	"04"	"Small Metro"	"4"			2272	17162	13238.6
	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	487	3668	13277.0
"Total"	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"			487	3668	13277.0
	"Arizona"	"04"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	174	1311	13272.3
"Total"	"Arizona"	"04"	"NonCore (non-metro)"	"6"			174	1311	13272.3
"Total"	"Arizona"	"04"					14296	110240	12968.1
	"Arkansas"	"05"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	109	636	17138.4
"Total"	"Arkansas"	"05"	"Large Fringe Metro"	"2"			109	636	17138.4
	"Arkansas"	"05"	"Medium Metro"	"3"	"85+ years"	"85+"	2995	20653	14501.5
"Total"	"Arkansas"	"05"	"Medium Metro"	"3"			2995	20653	14501.5
	"Arkansas"	"05"	"Small Metro"	"4"	"85+ years"	"85+"	1192	7347	16224.3
"Total"	"Arkansas"	"05"	"Small Metro"	"4"			1192	7347	16224.3
	"Arkansas"	"05"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1826	11248	16234.0
"Total"	"Arkansas"	"05"	"Micropolitan (non-metro)"	"5"			1826	11248	16234.0
	"Arkansas"	"05"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2014	13167	15295.8
"Total"	"Arkansas"	"05"	"NonCore (non-metro)"	"6"			2014	13167	15295.8
"Total"	"Arkansas"	"05"					8136	53051	15336.2
	"California"	"06"	"Large Central Metro"	"1"	"85+ years"	"85+"	49349	401874	12279.7
"Total"	"California"	"06"	"Large Central Metro"	"1"			49349	401874	12279.7
	"California"	"06"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	10474	80369	13032.4
"Total"	"California"	"06"	"Large Fringe Metro"	"2"			10474	80369	13032.4
	"California"	"06"	"Medium Metro"	"3"	"85+ years"	"85+"	14531	110959	13095.8
"Total"	"California"	"06"	"Medium Metro"	"3"			14531	110959	13095.8
	"California"	"06"	"Small Metro"	"4"	"85+ years"	"85+"	2942	21441	13721.4
"Total"	"California"	"06"	"Small Metro"	"4"			2942	21441	13721.4
	"California"	"06"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1649	12763	12920.2
"Total"	"California"	"06"	"Micropolitan (non-metro)"	"5"			1649	12763	12920.2
	"California"	"06"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	853	6228	13696.2
"Total"	"California"	"06"	"NonCore (non-metro)"	"6"			853	6228	13696.2
"Total"	"California"	"06"					79798	633634	12593.7
	"Colorado"	"08"	"Large Central Metro"	"1"	"85+ years"	"85+"	1316	9869	13334.7
