"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Pennsylvania"	"42"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1482	9280	15969.8
"Total"	"Pennsylvania"	"42"	"NonCore (non-metro)"	"6"			1482	9280	15969.8
"Total"	"Pennsylvania"	"42"					43059	291467	14773.2
	"Rhode Island"	"44"	"Large Central Metro"	"1"	"85+ years"	"85+"	2075	15075	13764.5
"Total"	"Rhode Island"	"44"	"Large Central Metro"	"1"			2075	15075	13764.5
	"Rhode Island"	"44"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1582	10608	14913.3
"Total"	"Rhode Island"	"44"	"Large Fringe Metro"	"2"			1582	10608	14913.3
"Total"	"Rhode Island"	"44"					3657	25683	14239.0
	"South Carolina"	"45"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	636	4049	15707.6
"Total"	"South Carolina"	"45"	"Large Fringe Metro"	"2"			636	4049	15707.6
	"South Carolina"	"45"	"Medium Metro"	"3"	"85+ years"	"85+"	6191	42001	14740.1
"Total"	"South Carolina"	"45"	"Medium Metro"	"3"			6191	42001	14740.1
	"South Carolina"	"45"	"Small Metro"	"4"	"85+ years"	"85+"	1174	7832	14989.8
"Total"	"South Carolina"	"45"	"Small Metro"	"4"			1174	7832	14989.8
	"South Carolina"	"45"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1215	7740	15697.7
"Total"	"South Carolina"	"45"	"Micropolitan (non-metro)"	"5"			1215	7740	15697.7
	"South Carolina"	"45"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	816	4973	16408.6
"Total"	"South Carolina"	"45"	"NonCore (non-metro)"	"6"			816	4973	16408.6
"Total"	"South Carolina"	"45"					10032	66595	15064.2
	"South Dakota"	"46"	"Small Metro"	"4"	"85+ years"	"85+"	959	6554	14632.3
"Total"	"South Dakota"	"46"	"Small Metro"	"4"			959	6554	14632.3
	"South Dakota"	"46"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	730	5646	12929.5
"Total"	"South Dakota"	"46"	"Micropolitan (non-metro)"	"5"			730	5646	12929.5
	"South Dakota"	"46"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	885	6311	14023.1
"Total"	"South Dakota"	"46"	"NonCore (non-metro)"	"6"			885	6311	14023.1
"Total"	"South Dakota"	"46"					2574	18511	13905.2
	"Tennessee"	"47"	"Large Central Metro"	"1"	"85+ years"	"85+"	3109	20114	15456.9
"Total"	"Tennessee"	"47"	"Large Central Metro"	"1"			3109	20114	15456.9
	"Tennessee"	"47"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2044	12810	15956.3
"Total"	"Tennessee"	"47"	"Large Fringe Metro"	"2"			2044	12810	15956.3
	"Tennessee"	"47"	"Medium Metro"	"3"	"85+ years"	"85+"	4083	26773	15250.4
"Total"	"Tennessee"	"47"	"Medium Metro"	"3"			4083	26773	15250.4
	"Tennessee"	"47"	"Small Metro"	"4"	"85+ years"	"85+"	1537	9057	16970.3
"Total"	"Tennessee"	"47"	"Small Metro"	"4"			1537	9057	16970.3
	"Tennessee"	"47"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2314	14095	16417.2
"Total"	"Tennessee"	"47"	"Micropolitan (non-metro)"	"5"			2314	14095	16417.2
	"Tennessee"	"47"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1853	11423	16221.7
"Total"	"Tennessee"	"47"	"NonCore (non-metro)"	"6"			1853	11423	16221.7
"Total"	"Tennessee"	"47"					14940	94272	15847.8
	"Texas"	"48"	"Large Central Metro"	"1"	"85+ years"	"85+"	15804	110608	14288.3
"Total"	"Texas"	"48"	"Large Central Metro"	"1"			15804	110608	14288.3
	"Texas"	"48"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	6427	41735	15399.5
"Total"	"Texas"	"48"	"Large Fringe Metro"	"2"			6427	41735	15399.5
	"Texas"	"48"	"Medium Metro"	"3"	"85+ years"	"85+"	7211	50762	14205.5
"Total"	"Texas"	"48"	"Medium Metro"	"3"			7211	50762	14205.5
	"Texas"	"48"	"Small Metro"	"4"	"85+ years"	"85+"	3952	26041	15176.1
"Total"	"Texas"	"48"	"Small Metro"	"4"			3952	26041	15176.1
	"Texas"	"48"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	4295	27212	15783.5
"Total"	"Texas"	"48"	"Micropolitan (non-metro)"	"5"			4295	27212	15783.5
	"Texas"	"48"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	4641	29353	15811.0
"Total"	"Texas"	"48"	"NonCore (non-metro)"	"6"			4641	29353	15811.0
"Total"	"Texas"	"48"					42330	285711	14815.7
	"Utah"	"49"	"Large Central Metro"	"1"	"85+ years"	"85+"	1627	11147	14595.9
"Total"	"Utah"	"49"	"Large Central Metro"	"1"			1627	11147	14595.9
	"Utah"	"49"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	58	380	15263.2
"Total"	"Utah"	"49"	"Large Fringe Metro"	"2"			58	380	15263.2
	"Utah"	"49"	"Medium Metro"	"3"	"85+ years"	"85+"	1541	10483	14700.0
"Total"	"Utah"	"49"	"Medium Metro"	"3"			1541	10483	14700.0
	"Utah"	"49"	"Small Metro"	"4"	"85+ years"	"85+"	489	3588	13628.8
"Total"	"Utah"	"49"	"Small Metro"	"4"			489	3588	13628.8
	"Utah"	"49"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	282	1488	18951.6
"Total"	"Utah"	"49"	"Micropolitan (non-metro)"	"5"			282	1488	18951.6
	"Utah"	"49"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	309	1836	16830.1
"Total"	"Utah"	"49"	"NonCore (non-metro)"	"6"			309	1836	16830.1
"Total"	"Utah"	"49"					4306	28922	14888.3
	"Vermont"	"50"	"Small Metro"	"4"	"85+ years"	"85+"	459	3214	14281.3
"Total"	"Vermont"	"50"	"Small Metro"	"4"			459	3214	14281.3
	"Vermont"	"50"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	791	5661	13972.8
"Total"	"Vermont"	"50"	"Micropolitan (non-metro)"	"5"			791	5661	13972.8
	"Vermont"	"50"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	484	3288	14720.2
"Total"	"Vermont"	"50"	"NonCore (non-metro)"	"6"			484	3288	14720.2
"Total"	"Vermont"	"50"					1734	12163	14256.4
	"Virginia"	"51"	"Large Central Metro"	"1"	"85+ years"	"85+"	2220	17032	13034.3
"Total"	"Virginia"	"51"	"Large Central Metro"	"1"			2220	17032	13034.3
	"Virginia"	"51"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	7007	49763	14080.7
"Total"	"Virginia"	"51"	"Large Fringe Metro"	"2"			7007	49763	14080.7
	"Virginia"	"51"	"Medium Metro"	"3"	"85+ years"	"85+"	2033	13012	15624.0
"Total"	"Virginia"	"51"	"Medium Metro"	"3"			2033	13012	15624.0
	"Virginia"	"51"	"Small Metro"	"4"	"85+ years"	"85+"	1802	12112	14877.8
"Total"	"Virginia"	"51"	"Small Metro"	"4"			1802	12112	14877.8
	"Virginia"	"51"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1006	5742	17520.0
"Total"	"Virginia"	"51"	"Micropolitan (non-metro)"	"5"			1006	5742	17520.0
	"Virginia"	"51"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2558	16147	15842.0
"Total"	"Virginia"	"51"	"NonCore (non-metro)"	"6"			2558	16147	15842.0
"Total"	"Virginia"	"51"					16626	113808	14608.8
	"Washington"	"53"	"Large Central Metro"	"1"	"85+ years"	"85+"	4342	31428	13815.7
"Total"	"Washington"	"53"	"Large Central Metro"	"1"			4342	31428	13815.7
	"Washington"	"53"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	3903	26286	14848.2
"Total"	"Washington"	"53"	"Large Fringe Metro"	"2"			3903	26286	14848.2
	"Washington"	"53"	"Medium Metro"	"3"	"85+ years"	"85+"	3188	21602	14757.9
"Total"	"Washington"	"53"	"Medium Metro"	"3"			3188	21602	14757.9
	"Washington"	"53"	"Small Metro"	"4"	"85+ years"	"85+"	2460	16393	15006.4
"Total"	"Washington"	"53"	"Small Metro"	"4"			2460	16393	15006.4
	"Washington"	"53"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1531	10877	14075.6
"Total"	"Washington"	"53"	"Micropolitan (non-metro)"	"5"			1531	10877	14075.6
	"Washington"	"53"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	486	3490	13925.5
"Total"	"Washington"	"53"	"NonCore (non-metro)"	"6"			486	3490	13925.5
"Total"	"Washington"	"53"					15910	110076	14453.7
	"West Virginia"	"54"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	87	602	14451.8
"Total"	"West Virginia"	"54"	"Large Fringe Metro"	"2"			87	602	14451.8
	"West Virginia"	"54"	"Medium Metro"	"3"	"85+ years"	"85+"	774	4560	16973.7
"Total"	"West Virginia"	"54"	"Medium Metro"	"3"			774	4560	16973.7
	"West Virginia"	"54"	"Small Metro"	"4"	"85+ years"	"85+"	2480	14913	16629.8
"Total"	"West Virginia"	"54"	"Small Metro"	"4"			2480	14913	16629.8
	"West Virginia"	"54"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1098	6324	17362.4
"Total"	"West Virginia"	"54"	"Micropolitan (non-metro)"	"5"			1098	6324	17362.4
	"West Virginia"	"54"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1332	7926	16805.5
"Total"	"West Virginia"	"54"	"NonCore (non-metro)"	"6"			1332	7926	16805.5
"Total"	"West Virginia"	"54"					5771	34325	16812.8
	"Wisconsin"	"55"	"Large Central Metro"	"1"	"85+ years"	"85+"	2492	18190	13699.8
"Total"	"Wisconsin"	"55"	"Large Central Metro"	"1"			2492	18190	13699.8
	"Wisconsin"	"55"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2437	16193	15049.7
"Total"	"Wisconsin"	"55"	"Large Fringe Metro"	"2"			2437	16193	15049.7
	"Wisconsin"	"55"	"Medium Metro"	"3"	"85+ years"	"85+"	2280	16084	14175.6
"Total"	"Wisconsin"	"55"	"Medium Metro"	"3"			2280	16084	14175.6
	"Wisconsin"	"55"	"Small Metro"	"4"	"85+ years"	"85+"	3872	27096	14289.9
"Total"	"Wisconsin"	"55"	"Small Metro"	"4"			3872	27096	14289.9
	"Wisconsin"	"55"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2640	17614	14988.1
"Total"	"Wisconsin"	"55"	"Micropolitan (non-metro)"	"5"			2640	17614	14988.1
	"Wisconsin"	"55"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2840	18684	15200.2
"Total"	"Wisconsin"	"55"	"NonCore (non-metro)"	"6"			2840	18684	15200.2
"Total"	"Wisconsin"	"55"					16561	113861	14544.9
	"Wyoming"	"56"	"Small Metro"	"4"	"85+ years"	"85+"	352	2592	13580.2
"Total"	"Wyoming"	"56"	"Small Metro"	"4"			352	2592	13580.2
	"Wyoming"	"56"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	371	2566	14458.3
"Total"	"Wyoming"	"56"	"Micropolitan (non-metro)"	"5"			371	2566	14458.3
	"Wyoming"	"56"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	434	2993	14500.5
"Total"	"Wyoming"	"56"	"NonCore (non-metro)"	"6"			434	2993	14500.5
"Total"	"Wyoming"	"56"					1157	8151	14194.6
"Total"							744691	5195840	14332.4
