"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Medium Metro"	"3"	"95-99 years"	"95-99"	25200	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	5293	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	44	Not Applicable	Not Applicable
	"Small Metro"	"4"	"< 1 year"	"1"	2235	354534	630.4
	"Small Metro"	"4"	"1-4 years"	"1-4"	395	1428109	27.7
	"Small Metro"	"4"	"5-9 years"	"5-9"	233	1835536	12.7
	"Small Metro"	"4"	"10-14 years"	"10-14"	287	1820582	15.8
	"Small Metro"	"4"	"15-19 years"	"15-19"	946	1999617	47.3
	"Small Metro"	"4"	"20-24 years"	"20-24"	1836	2471110	74.3
	"Small Metro"	"4"	"25-29 years"	"25-29"	2089	1927763	108.4
	"Small Metro"	"4"	"30-34 years"	"30-34"	2430	1839539	132.1
	"Small Metro"	"4"	"35-39 years"	"35-39"	3014	1673557	180.1
	"Small Metro"	"4"	"40-44 years"	"40-44"	3998	1707292	234.2
	"Small Metro"	"4"	"45-49 years"	"45-49"	6543	1758947	372.0
	"Small Metro"	"4"	"50-54 years"	"50-54"	11029	1985413	555.5
	"Small Metro"	"4"	"55-59 years"	"55-59"	16169	1968900	821.2
	"Small Metro"	"4"	"60-64 years "	"60-64"	19860	1780222	1115.6
	"Small Metro"	"4"	"65-69 years"	"65-69"	23241	1516330	1532.7
	"Small Metro"	"4"	"70-74 years"	"70-74"	26657	1127705	2363.8
	"Small Metro"	"4"	"75-79 years"	"75-79"	30316	818434	3704.1
	"Small Metro"	"4"	"80-84 years"	"80-84"	36483	587978	6204.8
	"Small Metro"	"4"	"85-89 years"	"85-89"	39374	Not Applicable	Not Applicable
	"Small Metro"	"4"	"90-94 years"	"90-94"	30138	Not Applicable	Not Applicable
	"Small Metro"	"4"	"95-99 years"	"95-99"	11737	Not Applicable	Not Applicable
	"Small Metro"	"4"	"100+ years"	"100+"	2432	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"Micropolitan (non-metro)"	"5"	"< 1 year"	"1"	2076	321744	645.2
	"Micropolitan (non-metro)"	"5"	"1-4 years"	"1-4"	386	1312918	29.4
