"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Iowa"	"19"	"Medium Metro"	"3"	"85+ years"	"85+"	3171	22460	14118.4
"Total"	"Iowa"	"19"	"Medium Metro"	"3"			3171	22460	14118.4
	"Iowa"	"19"	"Small Metro"	"4"	"85+ years"	"85+"	1916	13948	13736.7
"Total"	"Iowa"	"19"	"Small Metro"	"4"			1916	13948	13736.7
	"Iowa"	"19"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2024	14499	13959.6
"Total"	"Iowa"	"19"	"Micropolitan (non-metro)"	"5"			2024	14499	13959.6
	"Iowa"	"19"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	4054	27795	14585.4
"Total"	"Iowa"	"19"	"NonCore (non-metro)"	"6"			4054	27795	14585.4
"Total"	"Iowa"	"19"					11165	78702	14186.4
	"Kansas"	"20"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2145	15551	13793.3
"Total"	"Kansas"	"20"	"Large Fringe Metro"	"2"			2145	15551	13793.3
	"Kansas"	"20"	"Medium Metro"	"3"	"85+ years"	"85+"	1792	12355	14504.2
"Total"	"Kansas"	"20"	"Medium Metro"	"3"			1792	12355	14504.2
	"Kansas"	"20"	"Small Metro"	"4"	"85+ years"	"85+"	1282	9035	14189.3
"Total"	"Kansas"	"20"	"Small Metro"	"4"			1282	9035	14189.3
	"Kansas"	"20"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1908	13111	14552.7
"Total"	"Kansas"	"20"	"Micropolitan (non-metro)"	"5"			1908	13111	14552.7
	"Kansas"	"20"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1848	13775	13415.6
"Total"	"Kansas"	"20"	"NonCore (non-metro)"	"6"			1848	13775	13415.6
"Total"	"Kansas"	"20"					8975	63827	14061.4
	"Kentucky"	"21"	"Large Central Metro"	"1"	"85+ years"	"85+"	2228	15693	14197.4
"Total"	"Kentucky"	"21"	"Large Central Metro"	"1"			2228	15693	14197.4
	"Kentucky"	"21"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1320	8890	14848.1
"Total"	"Kentucky"	"21"	"Large Fringe Metro"	"2"			1320	8890	14848.1
	"Kentucky"	"21"	"Medium Metro"	"3"	"85+ years"	"85+"	1712	11828	14474.1
"Total"	"Kentucky"	"21"	"Medium Metro"	"3"			1712	11828	14474.1
	"Kentucky"	"21"	"Small Metro"	"4"	"85+ years"	"85+"	1016	7210	14091.5
"Total"	"Kentucky"	"21"	"Small Metro"	"4"			1016	7210	14091.5
	"Kentucky"	"21"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2371	15304	15492.7
"Total"	"Kentucky"	"21"	"Micropolitan (non-metro)"	"5"			2371	15304	15492.7
	"Kentucky"	"21"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2683	16970	15810.3
"Total"	"Kentucky"	"21"	"NonCore (non-metro)"	"6"			2683	16970	15810.3
"Total"	"Kentucky"	"21"					11330	75895	14928.5
	"Louisiana"	"22"	"Large Central Metro"	"1"	"85+ years"	"85+"	714	6035	11831.0
"Total"	"Louisiana"	"22"	"Large Central Metro"	"1"			714	6035	11831.0
	"Louisiana"	"22"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	2145	15377	13949.4
"Total"	"Louisiana"	"22"	"Large Fringe Metro"	"2"			2145	15377	13949.4
	"Louisiana"	"22"	"Medium Metro"	"3"	"85+ years"	"85+"	3903	26512	14721.6
"Total"	"Louisiana"	"22"	"Medium Metro"	"3"			3903	26512	14721.6
	"Louisiana"	"22"	"Small Metro"	"4"	"85+ years"	"85+"	2003	13364	14988.0
"Total"	"Louisiana"	"22"	"Small Metro"	"4"			2003	13364	14988.0
	"Louisiana"	"22"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1001	6456	15505.0
"Total"	"Louisiana"	"22"	"Micropolitan (non-metro)"	"5"			1001	6456	15505.0
	"Louisiana"	"22"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1001	6682	14980.5
"Total"	"Louisiana"	"22"	"NonCore (non-metro)"	"6"			1001	6682	14980.5
"Total"	"Louisiana"	"22"					10767	74426	14466.7
	"Maine"	"23"	"Medium Metro"	"3"	"85+ years"	"85+"	1823	12535	14543.3
"Total"	"Maine"	"23"	"Medium Metro"	"3"			1823	12535	14543.3
	"Maine"	"23"	"Small Metro"	"4"	"85+ years"	"85+"	816	5672	14386.5
"Total"	"Maine"	"23"	"Small Metro"	"4"			816	5672	14386.5
	"Maine"	"23"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	476	2797	17018.2
"Total"	"Maine"	"23"	"Micropolitan (non-metro)"	"5"			476	2797	17018.2
	"Maine"	"23"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1578	10717	14724.3
"Total"	"Maine"	"23"	"NonCore (non-metro)"	"6"			1578	10717	14724.3
"Total"	"Maine"	"23"					4693	31721	14794.6
	"Maryland"	"24"	"Large Central Metro"	"1"	"85+ years"	"85+"	1579	10593	14906.1
"Total"	"Maryland"	"24"	"Large Central Metro"	"1"			1579	10593	14906.1
	"Maryland"	"24"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	10493	85446	12280.3
"Total"	"Maryland"	"24"	"Large Fringe Metro"	"2"			10493	85446	12280.3
	"Maryland"	"24"	"Medium Metro"	"3"	"85+ years"	"85+"	1058	7319	14455.5
"Total"	"Maryland"	"24"	"Medium Metro"	"3"			1058	7319	14455.5
	"Maryland"	"24"	"Small Metro"	"4"	"85+ years"	"85+"	498	3428	14527.4
"Total"	"Maryland"	"24"	"Small Metro"	"4"			498	3428	14527.4
	"Maryland"	"24"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	297	2205	13469.4
"Total"	"Maryland"	"24"	"Micropolitan (non-metro)"	"5"			297	2205	13469.4
	"Maryland"	"24"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	288	2017	14278.6
"Total"	"Maryland"	"24"	"NonCore (non-metro)"	"6"			288	2017	14278.6
"Total"	"Maryland"	"24"					14213	111008	12803.6
	"Massachusetts"	"25"	"Large Central Metro"	"1"	"85+ years"	"85+"	1525	12329	12369.2
"Total"	"Massachusetts"	"25"	"Large Central Metro"	"1"			1525	12329	12369.2
	"Massachusetts"	"25"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	12893	95936	13439.2
"Total"	"Massachusetts"	"25"	"Large Fringe Metro"	"2"			12893	95936	13439.2
	"Massachusetts"	"25"	"Medium Metro"	"3"	"85+ years"	"85+"	4748	33329	14245.9
"Total"	"Massachusetts"	"25"	"Medium Metro"	"3"			4748	33329	14245.9
	"Massachusetts"	"25"	"Small Metro"	"4"	"85+ years"	"85+"	1842	13196	13958.8
"Total"	"Massachusetts"	"25"	"Small Metro"	"4"			1842	13196	13958.8
	"Massachusetts"	"25"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	338	2203	15342.7
"Total"	"Massachusetts"	"25"	"Micropolitan (non-metro)"	"5"			338	2203	15342.7
	"Massachusetts"	"25"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	25	201	12437.8
"Total"	"Massachusetts"	"25"	"NonCore (non-metro)"	"6"			25	201	12437.8
"Total"	"Massachusetts"	"25"					21371	157194	13595.3
	"Michigan"	"26"	"Large Central Metro"	"1"	"85+ years"	"85+"	6811	48252	14115.5
"Total"	"Michigan"	"26"	"Large Central Metro"	"1"			6811	48252	14115.5
	"Michigan"	"26"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	8981	62946	14267.8
"Total"	"Michigan"	"26"	"Large Fringe Metro"	"2"			8981	62946	14267.8
	"Michigan"	"26"	"Medium Metro"	"3"	"85+ years"	"85+"	4310	30143	14298.5
"Total"	"Michigan"	"26"	"Medium Metro"	"3"			4310	30143	14298.5
	"Michigan"	"26"	"Small Metro"	"4"	"85+ years"	"85+"	3909	27018	14468.1
"Total"	"Michigan"	"26"	"Small Metro"	"4"			3909	27018	14468.1
	"Michigan"	"26"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	3718	24789	14998.6
"Total"	"Michigan"	"26"	"Micropolitan (non-metro)"	"5"			3718	24789	14998.6
	"Michigan"	"26"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2666	17673	15085.2
"Total"	"Michigan"	"26"	"NonCore (non-metro)"	"6"			2666	17673	15085.2
"Total"	"Michigan"	"26"					30395	210821	14417.4
	"Minnesota"	"27"	"Large Central Metro"	"1"	"85+ years"	"85+"	4652	35139	13238.9
"Total"	"Minnesota"	"27"	"Large Central Metro"	"1"			4652	35139	13238.9
	"Minnesota"	"27"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	3235	23854	13561.7
"Total"	"Minnesota"	"27"	"Large Fringe Metro"	"2"			3235	23854	13561.7
	"Minnesota"	"27"	"Medium Metro"	"3"	"85+ years"	"85+"	921	6067	15180.5
"Total"	"Minnesota"	"27"	"Medium Metro"	"3"			921	6067	15180.5
	"Minnesota"	"27"	"Small Metro"	"4"	"85+ years"	"85+"	1888	13907	13575.9
"Total"	"Minnesota"	"27"	"Small Metro"	"4"			1888	13907	13575.9
	"Minnesota"	"27"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2646	18802	14073.0
"Total"	"Minnesota"	"27"	"Micropolitan (non-metro)"	"5"			2646	18802	14073.0
	"Minnesota"	"27"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2551	18893	13502.4
"Total"	"Minnesota"	"27"	"NonCore (non-metro)"	"6"			2551	18893	13502.4
"Total"	"Minnesota"	"27"					15893	116662	13623.1
	"Mississippi"	"28"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	440	3169	13884.5
"Total"	"Mississippi"	"28"	"Large Fringe Metro"	"2"			440	3169	13884.5
	"Mississippi"	"28"	"Medium Metro"	"3"	"85+ years"	"85+"	2041	14599	13980.4
"Total"	"Mississippi"	"28"	"Medium Metro"	"3"			2041	14599	13980.4
	"Mississippi"	"28"	"Small Metro"	"4"	"85+ years"	"85+"	281	2201	12766.9
"Total"	"Mississippi"	"28"	"Small Metro"	"4"			281	2201	12766.9
	"Mississippi"	"28"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2535	17175	14759.8
"Total"	"Mississippi"	"28"	"Micropolitan (non-metro)"	"5"			2535	17175	14759.8
	"Mississippi"	"28"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1882	12491	15066.8
"Total"	"Mississippi"	"28"	"NonCore (non-metro)"	"6"			1882	12491	15066.8
"Total"	"Mississippi"	"28"					7179	49635	14463.6
	"Missouri"	"29"	"Large Central Metro"	"1"	"85+ years"	"85+"	2442	18565	13153.8
"Total"	"Missouri"	"29"	"Large Central Metro"	"1"			2442	18565	13153.8
	"Missouri"	"29"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	6626	48317	13713.6
"Total"	"Missouri"	"29"	"Large Fringe Metro"	"2"			6626	48317	13713.6
	"Missouri"	"29"	"Medium Metro"	"3"	"85+ years"	"85+"	1369	9569	14306.6
"Total"	"Missouri"	"29"	"Medium Metro"	"3"			1369	9569	14306.6
	"Missouri"	"29"	"Small Metro"	"4"	"85+ years"	"85+"	1925	13393	14373.2
"Total"	"Missouri"	"29"	"Small Metro"	"4"			1925	13393	14373.2
	"Missouri"	"29"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2096	14370	14585.9
"Total"	"Missouri"	"29"	"Micropolitan (non-metro)"	"5"			2096	14370	14585.9
	"Missouri"	"29"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	3044	20791	14641.0
"Total"	"Missouri"	"29"	"NonCore (non-metro)"	"6"			3044	20791	14641.0
"Total"	"Missouri"	"29"					17502	125005	14001.0
	"Montana"	"30"	"Small Metro"	"4"	"85+ years"	"85+"	1027	7670	13389.8
"Total"	"Montana"	"30"	"Small Metro"	"4"			1027	7670	13389.8
	"Montana"	"30"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	799	5731	13941.7
"Total"	"Montana"	"30"	"Micropolitan (non-metro)"	"5"			799	5731	13941.7
	"Montana"	"30"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1166	8584	13583.4
"Total"	"Montana"	"30"	"NonCore (non-metro)"	"6"			1166	8584	13583.4
"Total"	"Montana"	"30"					2992	21985	13609.3
	"Nebraska"	"31"	"Medium Metro"	"3"	"85+ years"	"85+"	2553	17808	14336.3
"Total"	"Nebraska"	"31"	"Medium Metro"	"3"			2553	17808	14336.3
	"Nebraska"	"31"	"Small Metro"	"4"	"85+ years"	"85+"	340	2552	13322.9
"Total"	"Nebraska"	"31"	"Small Metro"	"4"			340	2552	13322.9
	"Nebraska"	"31"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1277	9076	14070.1
"Total"	"Nebraska"	"31"	"Micropolitan (non-metro)"	"5"			1277	9076	14070.1
	"Nebraska"	"31"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1657	12416	13345.7
"Total"	"Nebraska"	"31"	"NonCore (non-metro)"	"6"			1657	12416	13345.7
"Total"	"Nebraska"	"31"					5827	41852	13922.9
	"Nevada"	"32"	"Large Central Metro"	"1"	"85+ years"	"85+"	3087	25381	12162.6
"Total"	"Nevada"	"32"	"Large Central Metro"	"1"			3087	25381	12162.6
	"Nevada"	"32"	"Medium Metro"	"3"	"85+ years"	"85+"	976	6708	14549.8
"Total"	"Nevada"	"32"	"Medium Metro"	"3"			976	6708	14549.8
	"Nevada"	"32"	"Small Metro"	"4"	"85+ years"	"85+"	199	1382	14399.4
"Total"	"Nevada"	"32"	"Small Metro"	"4"			199	1382	14399.4
