"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Central Metro"	"1"	"85+ years"	"85+"	1922	13681	14048.7
"Total"	"Alabama"	"01"	"Large Central Metro"	"1"			1922	13681	14048.7
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1055	6913	15261.1
"Total"	"Alabama"	"01"	"Large Fringe Metro"	"2"			1055	6913	15261.1
	"Alabama"	"01"	"Medium Metro"	"3"	"85+ years"	"85+"	2954	20109	14689.9
"Total"	"Alabama"	"01"	"Medium Metro"	"3"			2954	20109	14689.9
	"Alabama"	"01"	"Small Metro"	"4"	"85+ years"	"85+"	3323	21366	15552.7
"Total"	"Alabama"	"01"	"Small Metro"	"4"			3323	21366	15552.7
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1306	8874	14717.2
"Total"	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"			1306	8874	14717.2
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1917	12624	15185.4
"Total"	"Alabama"	"01"	"NonCore (non-metro)"	"6"			1917	12624	15185.4
"Total"	"Alabama"	"01"					12477	83567	14930.5
	"Alaska"	"02"	"Medium Metro"	"3"	"85+ years"	"85+"	395	3180	12421.4
"Total"	"Alaska"	"02"	"Medium Metro"	"3"			395	3180	12421.4
	"Alaska"	"02"	"Small Metro"	"4"	"85+ years"	"85+"	80	659	12139.6
"Total"	"Alaska"	"02"	"Small Metro"	"4"			80	659	12139.6
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	63	513	12280.7
"Total"	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"			63	513	12280.7
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	194	1579	12286.3
"Total"	"Alaska"	"02"	"NonCore (non-metro)"	"6"			194	1579	12286.3
"Total"	"Alaska"	"02"					732	5931	12341.9
	"Arizona"	"04"	"Large Central Metro"	"1"	"85+ years"	"85+"	8600	70230	12245.5
"Total"	"Arizona"	"04"	"Large Central Metro"	"1"			8600	70230	12245.5
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	546	5457	10005.5
"Total"	"Arizona"	"04"	"Large Fringe Metro"	"2"			546	5457	10005.5
	"Arizona"	"04"	"Medium Metro"	"3"	"85+ years"	"85+"	2756	23328	11814.1
"Total"	"Arizona"	"04"	"Medium Metro"	"3"			2756	23328	11814.1
	"Arizona"	"04"	"Small Metro"	"4"	"85+ years"	"85+"	2326	19966	11649.8
"Total"	"Arizona"	"04"	"Small Metro"	"4"			2326	19966	11649.8
	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	557	4168	13363.7
"Total"	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"			557	4168	13363.7
	"Arizona"	"04"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	161	1623	9919.9
"Total"	"Arizona"	"04"	"NonCore (non-metro)"	"6"			161	1623	9919.9
"Total"	"Arizona"	"04"					14946	124772	11978.6
	"Arkansas"	"05"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	81	673	12035.7
"Total"	"Arkansas"	"05"	"Large Fringe Metro"	"2"			81	673	12035.7
	"Arkansas"	"05"	"Medium Metro"	"3"	"85+ years"	"85+"	3080	21877	14078.7
"Total"	"Arkansas"	"05"	"Medium Metro"	"3"			3080	21877	14078.7
	"Arkansas"	"05"	"Small Metro"	"4"	"85+ years"	"85+"	1055	7351	14351.8
"Total"	"Arkansas"	"05"	"Small Metro"	"4"			1055	7351	14351.8
	"Arkansas"	"05"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1660	11531	14396.0
"Total"	"Arkansas"	"05"	"Micropolitan (non-metro)"	"5"			1660	11531	14396.0
	"Arkansas"	"05"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1971	13618	14473.5
"Total"	"Arkansas"	"05"	"NonCore (non-metro)"	"6"			1971	13618	14473.5
"Total"	"Arkansas"	"05"					7847	55050	14254.3
	"California"	"06"	"Large Central Metro"	"1"	"85+ years"	"85+"	50848	438971	11583.5
"Total"	"California"	"06"	"Large Central Metro"	"1"			50848	438971	11583.5
	"California"	"06"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	10641	87936	12100.8
"Total"	"California"	"06"	"Large Fringe Metro"	"2"			10641	87936	12100.8
	"California"	"06"	"Medium Metro"	"3"	"85+ years"	"85+"	15101	119071	12682.3
"Total"	"California"	"06"	"Medium Metro"	"3"			15101	119071	12682.3
	"California"	"06"	"Small Metro"	"4"	"85+ years"	"85+"	2851	22847	12478.7
"Total"	"California"	"06"	"Small Metro"	"4"			2851	22847	12478.7
	"California"	"06"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1671	13302	12562.0
"Total"	"California"	"06"	"Micropolitan (non-metro)"	"5"			1671	13302	12562.0
	"California"	"06"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	859	6523	13168.8
"Total"	"California"	"06"	"NonCore (non-metro)"	"6"			859	6523	13168.8
"Total"	"California"	"06"					81971	688650	11903.1
	"Colorado"	"08"	"Large Central Metro"	"1"	"85+ years"	"85+"	1358	10305	13178.1
"Total"	"Colorado"	"08"	"Large Central Metro"	"1"			1358	10305	13178.1
	"Colorado"	"08"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	3810	28629	13308.2
"Total"	"Colorado"	"08"	"Large Fringe Metro"	"2"			3810	28629	13308.2
	"Colorado"	"08"	"Medium Metro"	"3"	"85+ years"	"85+"	3106	22671	13700.3
"Total"	"Colorado"	"08"	"Medium Metro"	"3"			3106	22671	13700.3
	"Colorado"	"08"	"Small Metro"	"4"	"85+ years"	"85+"	1051	7262	14472.6
"Total"	"Colorado"	"08"	"Small Metro"	"4"			1051	7262	14472.6
	"Colorado"	"08"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	813	5962	13636.4
"Total"	"Colorado"	"08"	"Micropolitan (non-metro)"	"5"			813	5962	13636.4
	"Colorado"	"08"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	907	6798	13342.2
"Total"	"Colorado"	"08"	"NonCore (non-metro)"	"6"			907	6798	13342.2
"Total"	"Colorado"	"08"					11045	81627	13531.1
	"Connecticut"	"09"	"Large Central Metro"	"1"	"85+ years"	"85+"	3293	23769	13854.2
"Total"	"Connecticut"	"09"	"Large Central Metro"	"1"			3293	23769	13854.2
	"Connecticut"	"09"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	945	7357	12844.9
"Total"	"Connecticut"	"09"	"Large Fringe Metro"	"2"			945	7357	12844.9
	"Connecticut"	"09"	"Medium Metro"	"3"	"85+ years"	"85+"	7279	53715	13551.1
"Total"	"Connecticut"	"09"	"Medium Metro"	"3"			7279	53715	13551.1
	"Connecticut"	"09"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	710	4944	14360.8
"Total"	"Connecticut"	"09"	"Micropolitan (non-metro)"	"5"			710	4944	14360.8
"Total"	"Connecticut"	"09"					12227	89785	13618.1
	"Delaware"	"10"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	1355	10311	13141.3
"Total"	"Delaware"	"10"	"Large Fringe Metro"	"2"			1355	10311	13141.3
	"Delaware"	"10"	"Medium Metro"	"3"	"85+ years"	"85+"	752	4924	15272.1
"Total"	"Delaware"	"10"	"Medium Metro"	"3"			752	4924	15272.1
	"Delaware"	"10"	"Small Metro"	"4"	"85+ years"	"85+"	381	2716	14028.0
"Total"	"Delaware"	"10"	"Small Metro"	"4"			381	2716	14028.0
"Total"	"Delaware"	"10"					2488	17951	13860.0
	"District of Columbia"	"11"	"Large Central Metro"	"1"	"85+ years"	"85+"	1297	11203	11577.3
"Total"	"District of Columbia"	"11"	"Large Central Metro"	"1"			1297	11203	11577.3
"Total"	"District of Columbia"	"11"					1297	11203	11577.3
	"Florida"	"12"	"Large Central Metro"	"1"	"85+ years"	"85+"	17705	147592	11995.9
"Total"	"Florida"	"12"	"Large Central Metro"	"1"			17705	147592	11995.9
	"Florida"	"12"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	18000	157788	11407.7
"Total"	"Florida"	"12"	"Large Fringe Metro"	"2"			18000	157788	11407.7
	"Florida"	"12"	"Medium Metro"	"3"	"85+ years"	"85+"	19200	164870	11645.5
"Total"	"Florida"	"12"	"Medium Metro"	"3"			19200	164870	11645.5
	"Florida"	"12"	"Small Metro"	"4"	"85+ years"	"85+"	4668	37974	12292.6
"Total"	"Florida"	"12"	"Small Metro"	"4"			4668	37974	12292.6
	"Florida"	"12"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	905	7272	12445.0
"Total"	"Florida"	"12"	"Micropolitan (non-metro)"	"5"			905	7272	12445.0
	"Florida"	"12"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	969	6795	14260.5
"Total"	"Florida"	"12"	"NonCore (non-metro)"	"6"			969	6795	14260.5
"Total"	"Florida"	"12"					61447	522291	11764.9
	"Georgia"	"13"	"Large Central Metro"	"1"	"85+ years"	"85+"	1784	13486	13228.5
"Total"	"Georgia"	"13"	"Large Central Metro"	"1"			1784	13486	13228.5
	"Georgia"	"13"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	6903	48206	14319.8
"Total"	"Georgia"	"13"	"Large Fringe Metro"	"2"			6903	48206	14319.8
	"Georgia"	"13"	"Medium Metro"	"3"	"85+ years"	"85+"	2520	17290	14574.9
"Total"	"Georgia"	"13"	"Medium Metro"	"3"			2520	17290	14574.9
	"Georgia"	"13"	"Small Metro"	"4"	"85+ years"	"85+"	3263	22214	14688.9
"Total"	"Georgia"	"13"	"Small Metro"	"4"			3263	22214	14688.9
	"Georgia"	"13"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	2368	15332	15444.8
"Total"	"Georgia"	"13"	"Micropolitan (non-metro)"	"5"			2368	15332	15444.8
	"Georgia"	"13"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2116	14666	14427.9
"Total"	"Georgia"	"13"	"NonCore (non-metro)"	"6"			2116	14666	14427.9
"Total"	"Georgia"	"13"					18954	131194	14447.3
	"Hawaii"	"15"	"Medium Metro"	"3"	"85+ years"	"85+"	2928	27311	10721.0
"Total"	"Hawaii"	"15"	"Medium Metro"	"3"			2928	27311	10721.0
	"Hawaii"	"15"	"Small Metro"	"4"	"85+ years"	"85+"	351	3285	10684.9
"Total"	"Hawaii"	"15"	"Small Metro"	"4"			351	3285	10684.9
	"Hawaii"	"15"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	718	6295	11405.9
"Total"	"Hawaii"	"15"	"Micropolitan (non-metro)"	"5"			718	6295	11405.9
"Total"	"Hawaii"	"15"					3997	36891	10834.6
	"Idaho"	"16"	"Medium Metro"	"3"	"85+ years"	"85+"	1443	10229	14107.0
"Total"	"Idaho"	"16"	"Medium Metro"	"3"			1443	10229	14107.0
	"Idaho"	"16"	"Small Metro"	"4"	"85+ years"	"85+"	1155	7593	15211.4
"Total"	"Idaho"	"16"	"Small Metro"	"4"			1155	7593	15211.4
	"Idaho"	"16"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	964	6451	14943.4
"Total"	"Idaho"	"16"	"Micropolitan (non-metro)"	"5"			964	6451	14943.4
	"Idaho"	"16"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	451	3076	14661.9
"Total"	"Idaho"	"16"	"NonCore (non-metro)"	"6"			451	3076	14661.9
"Total"	"Idaho"	"16"					4013	27349	14673.3
	"Illinois"	"17"	"Large Central Metro"	"1"	"85+ years"	"85+"	12784	99135	12895.5
"Total"	"Illinois"	"17"	"Large Central Metro"	"1"			12784	99135	12895.5
	"Illinois"	"17"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	10044	69511	14449.5
"Total"	"Illinois"	"17"	"Large Fringe Metro"	"2"			10044	69511	14449.5
	"Illinois"	"17"	"Medium Metro"	"3"	"85+ years"	"85+"	3223	22220	14505.0
"Total"	"Illinois"	"17"	"Medium Metro"	"3"			3223	22220	14505.0
	"Illinois"	"17"	"Small Metro"	"4"	"85+ years"	"85+"	3138	22607	13880.7
"Total"	"Illinois"	"17"	"Small Metro"	"4"			3138	22607	13880.7
	"Illinois"	"17"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	3572	25309	14113.6
"Total"	"Illinois"	"17"	"Micropolitan (non-metro)"	"5"			3572	25309	14113.6
	"Illinois"	"17"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2554	17270	14788.7
"Total"	"Illinois"	"17"	"NonCore (non-metro)"	"6"			2554	17270	14788.7
"Total"	"Illinois"	"17"					35315	256052	13792.1
	"Indiana"	"18"	"Large Central Metro"	"1"	"85+ years"	"85+"	2120	14914	14214.8
"Total"	"Indiana"	"18"	"Large Central Metro"	"1"			2120	14914	14214.8
	"Indiana"	"18"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	5288	36506	14485.3
"Total"	"Indiana"	"18"	"Large Fringe Metro"	"2"			5288	36506	14485.3
	"Indiana"	"18"	"Medium Metro"	"3"	"85+ years"	"85+"	3092	20948	14760.4
"Total"	"Indiana"	"18"	"Medium Metro"	"3"			3092	20948	14760.4
	"Indiana"	"18"	"Small Metro"	"4"	"85+ years"	"85+"	3161	21915	14423.9
"Total"	"Indiana"	"18"	"Small Metro"	"4"			3161	21915	14423.9
	"Indiana"	"18"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	3253	22280	14600.5
"Total"	"Indiana"	"18"	"Micropolitan (non-metro)"	"5"			3253	22280	14600.5
	"Indiana"	"18"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	1458	9860	14787.0
"Total"	"Indiana"	"18"	"NonCore (non-metro)"	"6"			1458	9860	14787.0
"Total"	"Indiana"	"18"					18372	126423	14532.2
