"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	21922	1294584	1693.4
	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	25817	997212	2588.9
	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	31012	757699	4092.9
	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	38265	579533	6602.7
	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	40150	Not Applicable	Not Applicable
	"Micropolitan (non-metro)"	"5"	"90-94 years"	"90-94"	28609	Not Applicable	Not Applicable
	"Micropolitan (non-metro)"	"5"	"95-99 years"	"95-99"	11654	Not Applicable	Not Applicable
	"Micropolitan (non-metro)"	"5"	"100+ years"	"100+"	2413	Not Applicable	Not Applicable
	"NonCore (non-metro)"	"6"	"< 1 year"	"1"	1548	216834	713.9
	"NonCore (non-metro)"	"6"	"1-4 years"	"1-4"	340	924786	36.8
	"NonCore (non-metro)"	"6"	"5-9 years"	"5-9"	221	1179054	18.7
	"NonCore (non-metro)"	"6"	"10-14 years"	"10-14"	280	1233931	22.7
	"NonCore (non-metro)"	"6"	"15-19 years"	"15-19"	912	1253458	72.8
	"NonCore (non-metro)"	"6"	"20-24 years"	"20-24"	1369	1068990	128.1
	"NonCore (non-metro)"	"6"	"25-29 years"	"25-29"	1479	1043688	141.7
	"NonCore (non-metro)"	"6"	"30-34 years"	"30-34"	1786	1065082	167.7
	"NonCore (non-metro)"	"6"	"35-39 years"	"35-39"	2259	1054852	214.2
	"NonCore (non-metro)"	"6"	"40-44 years"	"40-44"	3284	1168688	281.0
	"NonCore (non-metro)"	"6"	"45-49 years"	"45-49"	5889	1346237	437.4
	"NonCore (non-metro)"	"6"	"50-54 years"	"50-54"	9239	1469153	628.9
	"NonCore (non-metro)"	"6"	"55-59 years"	"55-59"	12060	1411075	854.7
	"NonCore (non-metro)"	"6"	"60-64 years "	"60-64"	15550	1313581	1183.8
	"NonCore (non-metro)"	"6"	"65-69 years"	"65-69"	18102	1036830	1745.9
	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	21304	816049	2610.6
	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	24945	615774	4051.0
	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	29991	456352	6571.9
	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	30812	Not Applicable	Not Applicable
	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	22067	Not Applicable	Not Applicable
	"NonCore (non-metro)"	"6"	"95-99 years"	"95-99"	9403	Not Applicable	Not Applicable
	"NonCore (non-metro)"	"6"	"100+ years"	"100+"	1934	Not Applicable	Not Applicable
