"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"< 1 year"	"1"	9303	1314183	707.9
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	1396	5036080	27.7
	"Large Central Metro"	"1"	"5-9 years"	"5-9"	754	5937782	12.7
	"Large Central Metro"	"1"	"10-14 years"	"10-14"	943	6155963	15.3
	"Large Central Metro"	"1"	"15-19 years"	"15-19"	3631	6596744	55.0
	"Large Central Metro"	"1"	"20-24 years"	"20-24"	5962	6819969	87.4
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	6568	7452170	88.1
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	6801	6625999	102.6
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	9274	6740513	137.6
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	13933	6549607	212.7
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	22836	6683090	341.7
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	32032	6200709	516.6
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	38604	5275079	731.8
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	43659	4136713	1055.4
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	46815	3029858	1545.1
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	54874	2338723	2346.3
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	72818	1951791	3730.8
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	94588	1554005	6086.7
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	96692	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	64765	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	26180	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	5761	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	58	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	5750	969272	593.2
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	959	3955459	24.2
	"Large Fringe Metro"	"2"	"5-9 years"	"5-9"	512	5120393	10.0
	"Large Fringe Metro"	"2"	"10-14 years"	"10-14"	636	5358690	11.9
	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	2679	5357962	50.0
	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	4246	4482084	94.7
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	4273	4662376	91.6
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	4524	4637233	97.6
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	6293	5373970	117.1
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	10039	5715538	175.6
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	16756	6039189	277.5
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	23242	5534359	420.0
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	28980	4671596	620.3
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	35167	3770030	932.8
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	40118	2755276	1456.0
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	47511	2041826	2326.9
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	64733	1697477	3813.5
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	83766	1333799	6280.3
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	86637	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	58751	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	22760	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	4648	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	24	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"< 1 year"	"1"	6074	871407	697.0
	"Medium Metro"	"3"	"1-4 years"	"1-4"	1014	3396014	29.9
	"Medium Metro"	"3"	"5-9 years"	"5-9"	531	4195492	12.7
	"Medium Metro"	"3"	"10-14 years"	"10-14"	629	4328117	14.5
