eis,FIPS,eff_height,ap3.assignment,easiur.assignment
6241711,26137,52.30951607,Low,Area
6241811,26137,65.45913928,Low,Area
6241911,26137,25.58038282,Low,Area
6242011,26137,63.85174389,Low,Area
6242111,26137,52.11920362,Low,Area
6242211,26137,7.216922699,Low,Area
6242511,26137,55.64865401,Low,Area
6242611,26137,53.65037264,Low,Area
6242711,26137,56.85286774,Low,Area
6242811,26137,59.66146498,Low,Area
6242911,26137,57.1698232,Low,Area
6243211,26137,56.12706084,Low,Area
6243311,26137,56.24326774,Low,Area
6243411,26137,58.96670447,Low,Area
6243511,26137,56.24326774,Low,Area
6243611,26137,56.22991958,Low,Area
6243711,26137,63.3426143,Low,Area
6243811,26137,60.31630857,Low,Area
6244111,26137,60.29632893,Low,Area
6244511,26137,59.2773508,Low,Area
6244911,26137,79.55426014,Low,Med 150
6245511,55095,34.10751884,Low,Area
6245711,55095,26.39207533,Low,Area
6245811,55095,62.1092525,Low,Area
6245911,55095,74.39718995,Low,Area
6246011,55095,72.43582547,Low,Area
6246211,55095,55.69928333,Low,Area
6246411,55095,44.03528738,Low,Area
6247211,55097,80.22605485,Low,Med 150
6247311,55097,79.78589324,Low,Med 150
6247411,55097,36.6849588,Low,Area
6247511,55097,62.96763578,Low,Area
6247611,55097,67.08547811,Low,Area
6251011,28059,542.2887175,Medium,Tall 300
6251511,28059,193.595254,Low,Med 150
6252511,28061,148.336987,Low,Med 150
6252611,28061,217.9124589,Low,Med 150
6252811,28141,63.98188816,Low,Area
6252911,28141,94.48354407,Low,Med 150
6253211,28141,42.74422241,Low,Area
6255711,54011,65.19668615,Low,Area
6255811,54013,50.97166909,Low,Area
6255911,54013,56.2302515,Low,Area
6256011,54017,45.63761491,Low,Area
6256111,54017,172.0515017,Low,Med 150
6256211,54017,59.29203431,Low,Area
6256311,54017,69.8514523,Low,Area
6256711,54021,77.38172294,Low,Med 150
6256811,54021,74.96265083,Low,Area
6256911,54021,36.74243068,Low,Area
6257011,54023,542.7553936,Medium,Tall 300
6257111,54023,35.69350351,Low,Area
6257811,26153,163.6774707,Low,Med 150
6260411,26155,51.56775597,Low,Area
6260511,26155,44.06661697,Low,Area
6260611,26155,55.97873122,Low,Area
6260811,26155,79.55426014,Low,Med 150
6260911,26155,33.65922486,Low,Area
6266311,26163,170.7440453,Low,Med 150
6266411,26163,71.26660375,Low,Area
6266511,26163,65.8891235,Low,Area
6266711,26163,86.63688668,Low,Med 150
6267011,26163,45.49821074,Low,Area
6267811,26163,258.2972046,Medium,Tall 300
6270011,54023,36.59516821,Low,Area
6271011,54031,108.0424414,Low,Med 150
6271311,54033,61.15169292,Low,Area
6271411,54033,42.15981255,Low,Area
6271511,54033,15.15652679,Low,Area
6271611,54033,73.52129387,Low,Area
6271711,54033,582.6724423,Medium,Tall 300
6271811,54033,22.22228159,Low,Area
6272011,54033,0,Low,Area
6272211,55079,13.57781273,Low,Area
6272511,55079,119.1656242,Low,Med 150
6272611,55079,17.98832217,Low,Area
6273311,55079,11.08156115,Low,Area
6273511,55079,64.41361693,Low,Area
6273711,55079,160.9324418,Low,Med 150
6274111,55079,38.51183672,Low,Area
6281011,53039,279.1716957,Medium,Tall 300
6281111,53039,170.9077159,Low,Med 150
6281411,53041,40.8247155,Low,Area
6281811,NA,0,Low,Area
6282011,49049,143.2634777,Low,Med 150
6282311,49049,186.9355107,Low,Med 150
6282511,53057,124.3925324,Low,Med 150
6282811,28141,32.45572918,Low,Area
6282911,28141,25.05713128,Low,Area
6283711,28145,95.12528489,Low,Med 150
6284111,28147,203.8902632,Low,Med 150
6284211,28147,229.0642441,Low,Tall 300
6284611,28147,70.5497308,Low,Area
6284911,28149,110.6362558,Low,Med 150
6285011,28149,114.9383372,Low,Med 150
6285511,28149,158.178501,Low,Med 150
6285911,28149,49.75918456,Low,Area
6286211,28149,50.26326786,Low,Area
6286711,55079,27.73916854,Low,Area
6286811,55079,151.2954407,Low,Med 150
6287111,55079,45.54512015,Low,Area
6287311,55079,56.37463679,Low,Area
6287411,55079,33.3889159,Low,Area
6287511,55079,44.71846175,Low,Area
6287611,55079,55.11017311,Low,Area
6288011,55079,93.34704833,Low,Med 150
6288811,55079,45.28325462,Low,Area
6289311,55079,1.779895471,Low,Area
6289411,55079,40.39099524,Low,Area
6289511,55079,85.36361428,Low,Med 150
6289611,55079,13.96047204,Low,Area
6289811,55079,40.75319325,Low,Area
6295711,53057,53.44098589,Low,Area
6295811,53061,89.713395,Low,Med 150
6299311,53063,112.6837765,Low,Med 150
6303611,28001,83.80247288,Low,Med 150
6310111,51085,0,Low,Area
6311211,51087,0,Low,Area
6311511,51087,0,Low,Area
6311811,51087,0,Low,Area
6311911,51087,0,Low,Area
6314111,28163,145.0229197,Low,Med 150
6314811,26163,33.23874685,Low,Area
6315911,53077,11.60686952,Low,Area
6316811,28003,228.1920469,Low,Tall 300
6316911,26137,27.06035814,Low,Area
6317011,26137,96.70133732,Low,Med 150
6317111,26137,54.55286792,Low,Area
6317211,26137,53.02886792,Low,Area
6317311,26137,53.65037264,Low,Area
6318111,26137,66.50351121,Low,Area
6318211,26137,94.18181287,Low,Med 150
6318411,26137,77.51238781,Low,Med 150
6318511,26137,52.99780786,Low,Area
6318611,26137,35.86697139,Low,Area
6319111,26137,47.93228001,Low,Area
6320811,28027,237.4674314,Low,Tall 300
6321111,29023,277.2201889,Medium,Tall 300
6321211,29023,39.74055856,Low,Area
6321411,29023,62.03347663,Low,Area
6321511,29023,58.0000565,Low,Area
6322611,29027,137.5225012,Low,Med 150
6323111,29027,61.38806851,Low,Area
6323511,29027,160.5307555,Low,Med 150
6325311,51089,0,Low,Area
6325711,51089,0,Low,Area
6327111,54085,52.16474722,Low,Area
6327311,54089,43.51873325,Low,Area
6327611,54091,36.96135315,Low,Area
6327811,54093,329.45343,Medium,Tall 300
6328011,54095,0,Low,Area
6328311,54001,95.51028691,Low,Med 150
6328411,54003,50.3149177,Low,Area
6328511,54003,137.8199784,Low,Med 150
6328811,54003,66.6206066,Low,Area
6329711,55077,104.2029243,Low,Med 150
6330211,55079,60.57218024,Low,Area
6330311,55079,88.72994148,Low,Med 150
