"sector","E.NH3","E.NOx","E.PM25","E.SO2","E.VOC","GED.NH3","GED.NOx","GED.PM25","GED.SO2","GED.VOC","GED.sum"
"Agriculture, forestry, fishing, and hunting",2916024.34169108,446878.626639456,1085293.59293719,7245.76971738014,481128.46187012,139651912937.718,6714161786.09649,79304559064.5919,350354689.132486,1961028571.22468,227982017048.764
"Mining",1571.26913233088,679873.815226345,82226.3528741213,102136.892108289,3030707.24905756,73346887.1493453,7913829449.43621,6629342640.21282,3029029816.0865,8003222491.82343,25648771284.7083
"Utilities",31055.6426345388,1683178.33375382,187071.166501926,3208755.91347687,43237.675672726,2168961232.3796,19101022038.839,11747698306.4581,111847478544.675,169096031.149159,145034256153.501
"Construction",73.34915043,488.485272155,123134.963249063,58.55865683289,324504.440138572,3484811.3598695,10008655.0477975,32887261307.7315,1527791.75515248,4236018630.7314,37138301196.6257
"Manufacturing",53564.2765536477,1105392.88262208,237970.802156271,816465.855699626,1031930.45163603,3739398307.19896,16505781891.8514,31436631995.924,37674591104.3714,7126510931.52123,96482914230.867
"Wholesale trade",271.080744508177,3817.97072093125,1775.44087219564,641.045317964568,42522.5223414745,20897576.2261093,67476769.1359994,247710281.623824,29684582.144855,341495569.521771,707264778.652559
"Retail trade",0,0,0,0,232595.5291053,0,0,0,0,2000242189.38833,2000242189.38833
"Transportation and warehousing",15773.3191938,3394526.59854377,126314.738835716,48253.4715080528,603267.818593504,3542814213.2736,83272897311.7727,25771724037.2342,3177897480.1915,5807708918.93158,121573041961.404
"Information",4.48386471,1290.86164460818,85.567608778758,54.950639122242,638.728042683986,1579700.51276069,38850439.8758195,33411566.0316369,3428997.73099751,8126537.07699828,85397241.2282129
"Finance and insurance",0.954334145,269.9149196509,17.477671393,10.6661365461167,54.767477363905,182767.546001046,8419604.00023772,5195259.16853851,856143.536051322,586429.780040816,15240204.0308694
"Real estate and rental and leasing",14.14593565,1427.886521276,87.81180160562,114.37315531201,315.871440330909,6024803.65628678,79339546.0003076,59218690.7185679,13871506.9519915,8280271.9647219,166734819.291876
"Professional and business services",83.329195228,6486.692390736,2291.84092642969,27567.2523070085,2281.72932405781,6912642.77176286,139522611.463914,213574116.550849,1205988504.6071,20847363.8474603,1586845239.24109
"Management of companies and enterprises",0.9887514,64.50645319,5.270765034,7.938287671,26.683676051,410839.606236715,2931566.53712409,2820582.56153524,1137309.74503049,412511.657355812,7712810.10728235
"Administrative and waste management services",22330.953416341,101317.113547823,140760.488797174,27877.1536000192,194251.975896681,4444343574.55513,2767347396.47147,29924454720.8752,2487162767.72206,1936758887.60658,41560067347.2305
"Educational services",190.4269168465,12542.1771263727,1467.68004774729,13220.7679966103,893.947408623971,50061035.1979603,298010041.081071,305835079.960094,779748754.635345,9833419.10316063,1443488329.97763
"Health care and social assistance",117.046738628,6798.4164034296,674.843518089904,2795.17443739992,639.881807607997,30323263.1765526,214042295.559551,203758205.522089,174664424.159017,11151636.3875056,633939824.804715
"Arts, entertainment, and recreation",1.56212127,378.700689671,31.59090710685,15.529770769326,173.70736105099,635423.358568051,12737460.6831849,11641942.0813167,1168929.81224946,2228039.30894157,28411795.2442606
"Accommodation and food services",25.36187052,764.221177369,135.10789230647,798.93009302436,173.440838934875,1401872.75362345,13337444.7202029,15484433.7997946,30131346.050416,1072372.80608487,61427470.1301217
"Other services, except government",82722.3681349208,531281.84026557,156550.941554273,6808.78984728177,1598854.53178921,23836722993.3175,16214842009.6204,30006452253.2208,508432507.062342,14491706573.007,85058156336.2281
"Government",3763.22850752218,12551.3008205072,3539.96395104797,6273.25942014171,20330.1093633849,889544335.009275,256836229.855486,487311283.793092,284853983.487882,259955438.129207,2178501270.27494
"No attribution",146344.060140316,4536585.4055458,1418919.7115274,170300.796264989,43226586.4494668,22662163097.3747,113365762171.835,222062104726.13,13676202679.5051,194939318030.453,566705550705.298
