"sector","E.NH3","E.NOx","E.PM25","E.SO2","E.VOC","GED.NH3","GED.NOx","GED.PM25","GED.SO2","GED.VOC","GED.sum"
"Agriculture, forestry, fishing, and hunting",3612931.41221599,588617.022139826,1045649.7040269,14368.6904531979,566859.566818388,163045514409.36,7513795147.29738,64893966429.866,430657571.651304,2125413561.92544,238009347120.101
"Mining",1672.56436845737,537178.311908418,140293.841885228,97668.8306557545,1651748.06951706,92982424.8268384,5311767616.13479,10301384542.7878,2192349209.96476,4331295101.15455,22229778894.8687
"Utilities",41768.6004647915,3164230.56190464,341033.982406232,7875307.10089715,53051.4910675265,2176376019.68461,30429199386.9376,19434734927.5128,241629194962.358,186997448.210129,293856502744.703
"Construction",20.894523768,510.146782105,216907.829086564,102.6657837419,420712.67804559,1295126.94998548,12094346.2663821,47679517919.2154,2618678.39139045,5417292308.77214,53112818379.5953
"Manufacturing",51527.8141548375,1186899.66459086,317861.712569711,1350776.79291025,1231070.13624184,3352852821.92145,16105304846.0564,34638156613.4749,54967353258.4783,8712421097.61959,117776088637.551
"Wholesale trade",90.4795463712,12104.5922383058,2583.99416976271,11171.4058580905,49603.9651419444,8230264.64374402,171359975.404982,302184378.24779,443888912.692745,383628306.081415,1309291837.07068
"Retail trade",0,0,0,0,588975.241158932,0,0,0,0,4805898353.30132,4805898353.30132
"Transportation and warehousing",13608.7879298637,4723486.57708475,208785.97366033,151494.284318326,693670.70363812,3373972507.91082,108208936390.875,39380981462.3777,10060077372.8852,7138655717.03773,168162623451.087
"Information",140.61208176987,1765.28231768,233.230212347445,56.253200125768,2147.43623715046,70900703.3336893,126125354.467634,107630438.361351,3666314.82359589,18497944.7990512,326820755.785322
"Finance and insurance",6.593369799,623.9984920532,790.09597104536,69.70043493404,535.74221185082,1569831.75862878,18534709.0200849,520529738.322944,5050764.58053566,8028437.99893357,553713481.681126
"Real estate and rental and leasing",139.80729795,1743.8540609021,176.56987474467,623.474019267396,361.95609065762,53262361.0284947,70483273.6718572,82823821.2872157,56585317.7273018,6180906.23350055,269335679.94837
"Professional and business services",28.056420325934,3545.9812444425,278.31768028021,1188.69225163642,994.2972497135,8728088.75092888,85090336.2041254,90793990.8087379,87547250.5462577,13303736.424152,285463402.734202
"Management of companies and enterprises",0.2836,18.348225,0.9120776505,1.795225,28.3063936,37760.4046384292,491647.082396304,254432.874535285,150732.293588975,373178.369406399,1307751.02456539
"Administrative and waste management services",56352.950023734,92532.0157107574,103305.375567936,17592.2705169961,137017.480825194,12309518803.8335,1808320760.43855,12411580609.7212,1038194635.63438,1167499221.02604,28735114030.6537
"Educational services",199.60389716875,16740.3880203083,1962.96256506972,37245.8290776826,844.68530427067,65809524.0557963,337445074.942618,328777376.148133,1741626341.63172,10092754.7547745,2483751071.53304
"Health care and social assistance",112.783163528341,7437.1663276608,741.261123146461,5405.73654496347,747.550420963504,31252961.2846107,203103616.385341,186535299.53619,280163097.552577,11946510.9095528,713001485.668271
"Arts, entertainment, and recreation",4.1796615185,434.612113355,78.324056584048,12.91934846674,141.57742102531,1730343.56046132,17935776.6428945,22494896.5689907,960830.607490445,1655903.18986889,44777750.5697058
"Accommodation and food services",3.326139,901.54270970633,146.8585256912,1087.10790602383,235.1147385404,555712.790725586,12274255.175764,12955963.2707717,32633336.8292186,1302311.79341768,59721579.8598976
"Other services, except government",61389.9359348416,508464.613698474,164688.186414856,8996.43080812581,2456706.56409932,15355982554.7176,14406423734.231,23148239497.4533,567921268.255429,21852014055.2574,75330581109.9148
"Government",4560.69285000705,14499.1545373858,10434.2121293628,13354.0371018206,25573.0009134726,856455373.593593,256817812.751607,1020653568.30515,456813777.510241,417344683.633503,3008085215.79409
"No attribution",185718.330199272,6097485.62826333,1633755.06747175,496650.860255504,43987797.2912123,27967929788.2419,141392716637.399,210728978133.237,32949413614.8905,195364396816.387,608403434990.155
