"eis","SCC","POLL","ANN_VALUE","STKHGT","STKDIAM","STKTEMP","STKFLOW","STKVEL","NAICS"
16370511,31000228,"NOX",0.83,4.572,0.3048,644.111111111111,0.0943885447451136,1.2935712,211111
16370611,20200253,"PM25-PRI",0.451,7.0104,0.33528,880.222222222222,3.28805594898463,37.24656,211111
16370711,20200254,"VOC",0.315,6.096,0.3048,729.666666666667,3.51600656405023,48.18888,486210
16370811,20200254,"VOC",12.9,7.0104,0.4572,740.222222222222,3.61653136945183,22.03704,486210
16370911,20200254,"VOC",4.498,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211111
16371011,20200254,"VOC",9.967,7.0104,0.3048,729.666666666667,3.61086800013343,49.487328,486210
16371111,20200253,"VOC",0.124,6.7056,0.36576,893.555555555556,3.07945706688,29.309568,211111
16371211,20200254,"VOC",4.472,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211111
16371311,31000201,"VOC",0.13,6.096,0.18288,699.666666666667,0.119400815339827,4.54152,211111
16371411,20200253,"NOX",26.682,4.8768,0.3048,817.444444444444,0.856584609408,11.8872,211111
16371511,31000227,"VOC",0.8585,5.4864,0.06096,371.888888888889,0.0943885447451136,32.3088,486210
16371611,31000227,"VOC",0.861,1.8288,0.252984,533,0.1401683906304,2.77368,486210
16371711,20200254,"VOC",0.686,7.0104,0.3048,729.666666666667,3.61086800013343,49.487328,211111
16371811,20200254,"PM25-PRI",0.162,6.4008,0.3048,730.222222222222,3.8213584475904,52.4256,211111
16371911,20200254,"VOC",9.3,7.0104,0.39624,725.777777777778,5.73179980987423,46.482,211111
16372011,20200254,"VOC",1,4.8768,0.2286,730.222222222222,2.102525859456,51.2064,211111
16372111,20200254,"VOC",20.62,6.096,0.6096,730.777777777778,15.14951292672,51.90744,211111
16372211,31000204,"VOC",0.142,4.8768,0.8382,1088.55555555556,0.0235964282651136,NA,211111
16372411,40400302,"VOC",0.464,6.096,0.0762,293,NA,0.03048,486210
16372611,20200254,"SO2",0.026,5.4864,0.3048,730.222222222222,3.62691515709711,49.706784,211111
16372711,20200253,"VOC",0.23,2.1336,0.082296,699.666666666667,0.0238314580918272,4.48056,211111
16372811,20200254,"VOC",5.719,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211111
16372911,20200253,"NOX",6.13,4.572,0.3048,921.888888888889,0.448349127145114,6.15696,211111
16373111,20200254,"VOC",1.738,6.7056,0.4572,730.222222222222,3.62691515709711,22.091904,486210
16373211,20200253,"VOC",0.194,4.572,0.21336,845.777777777778,0.299212791199027,8.369808,211111
16373311,20200253,"NOX",40.209,3.048,0.128016,808,0.442212866488627,34.357056,211111
16373411,40400307,"VOC",6.15,12.192,12.954,288.555555555556,NA,0.185928,211111
16373611,31000205,"NOX",0.51,7.62,0.3048,921.888888888889,0.7872083352576,10.668,486210
16373711,20200253,"VOC",0.012,4.572,0.3048,921.888888888889,0.448349127145114,6.15696,211111
16373811,20200254,"PM25-PRI",0.31,6.096,0.3048,710.777777777778,2.63016215705871,NA,211111
16373911,20200253,"NOX",22.159,4.572,0.3048,911.333333333333,3.89120478139423,NA,211111
16374011,31000299,"VOC",2.03,12.192,0.06096,321.888888888889,0.0594653778432,20.33016,211111
16374111,31000227,"VOC",5.117,4.572,0.3048,373,NA,15.24,211111
16374211,20200254,"VOC",16.584,6.096,0.4572,739.111111111111,5.47600523955471,NA,211111
16374511,31000205,"SO2",0.01,6.096,0.204216,1255.22222222222,1.44510212718351,44.5008,211112
16374711,20200254,"VOC",10.06,6.096,0.6096,730.777777777778,15.14951292672,51.90744,211111
16374811,20200254,"VOC",4.348,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211111
16374911,31000205,"NOX",0.682,53.34,0.6096,921.888888888889,0.7872083352576,2.6971752,211112
16375111,20200254,"VOC",2.457,6.096,0.4572,725.777777777778,5.73227270121231,34.93008,211111
16375211,20200253,"VOC",12.9,7.0104,0.4572,740.222222222222,3.61653136945183,22.03704,211112
16375311,20200254,"VOC",6.4,7.0104,0.4572,806.333333333333,4.3069923666432,26.24328,211111
16375511,20200254,"VOC",8.197,6.4008,0.3048,805.777777777778,4.1215170214656,56.485536,211111
16375611,20200254,"NOX",10.4,6.096,0.3048,742.444444444444,3.77652155269663,51.7574784,486210
16375711,31000227,"VOC",6.136,5.4864,0.06096,371.888888888889,0.0943885447451136,32.3088,211111
16375811,20200254,"NOX",18.83,6.7056,0.25908,716.333333333333,NA,68.58,211111
16375911,20200254,"VOC",16.498,7.3152,0.4572,736.888888888889,5.77569092209183,35.180016,211111
16376011,20200254,"NOX",1.26,6.096,0.3048,806.888888888889,4.06016290995471,55.6445928,486210
16376111,20200254,"VOC",4.91,6.4008,0.3048,824.666666666667,1.18033961154831,NA,211111
16376211,20200254,"VOC",2.59,6.096,0.3048,742.444444444444,3.77652155269663,51.7574784,486210
16376311,31000205,"VOC",5.02,0.9144,0.438912,860.222222222222,0.616361473029427,4.073652,211111
16376411,20200254,"VOC",5.29,6.096,0.3048,806.888888888889,4.06016290995471,55.6445928,486210
16376511,20200253,"NOX",2.728,7.3152,0.4572,736.888888888889,5.77569092209183,35.180016,211111
16376611,20200253,"NOX",1.311,6.096,0.3048,866.888888888889,0.3199803664896,4.386072,211111
16376711,31000205,"VOC",0.2,7.62,0.09144,921.888888888889,0.0010845352244736,0.16764,486210
16376811,31000228,"PM25-PRI",0.004,6.096,0.134112,562.444444444444,0.0504974325275136,3.5746944,211112
16376911,20200254,"VOC",4.91,6.096,0.3048,742.444444444444,3.77652155269663,51.7574784,486210
16377011,40400311,"VOC",5.52,7.62,0.048768,294.111111111111,0.01953862414848,10.4601264,211111
16377211,20200253,"VOC",1.846,7.62,0.6096,880.222222222222,3.28805594898463,11.271504,211111
16377311,31000201,"NOX",3.1,6.096,0.18288,699.666666666667,0.119400815339827,4.54152,211111
16377411,31000404,"VOC",0.24,6.4008,0.6096,616.333333333333,0.825906137810227,NA,211111
16377511,31000205,"VOC",0.056,7.62,0.3048,921.888888888889,0.7872083352576,10.668,486210
16377711,20200253,"NOX",0.985,6.096,0.3048,860.222222222222,0.2109605071104,2.8956,211111
16377811,30500612,"PM25-PRI",0.02628,92.0496,0.33528,294.111111111111,1.15862908526623,13.12319448,32731
16378111,31000227,"VOC",6.86,6.096,0.146304,560.777777777778,0.06173072557056,3.6576,211111
16378211,20200254,"NOX",15.107,6.096,0.3048,729.666666666667,3.5056256080896,48.03648,211111
16378311,20200253,"PM25-PRI",0.195,5.1816,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16378511,20200254,"NOX",35.532,6.7056,0.3048,738,3.3881106947328,46.433232,211111
16378611,20200254,"VOC",7.2,7.0104,0.4572,740.222222222222,3.61653136945183,22.03704,211111
16378711,20200253,"NOX",15.152,3.9624,0.252984,813,0.431359019189914,8.58012,211111
16378811,20200254,"VOC",10.124,7.0104,0.33528,730.222222222222,3.62691515709711,41.0800296,211111
16378911,20200254,"PM25-PRI",0.479,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211111
16379011,20200254,"PM25-PRI",0.511,7.0104,0.4572,736.888888888889,5.77569092209183,35.180016,211111
16379111,20200253,"NOX",5.627,5.7912,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16379211,20200253,"VOC",13.27,4.572,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16379311,20200254,"VOC",1.94,6.096,0.3048,742.444444444444,3.77652155269663,51.7574784,211111
16379411,20200253,"NOX",13.703,6.7056,0.36576,836.333333333333,3.07945706688,29.309568,211111
16379511,20200254,"VOC",0.068,7.62,0.405384,806.333333333333,4.3069923666432,33.369504,211112
16379711,20200252,"NOX",13.19,5.7912,0.24384,499.666666666667,0.816468132841114,17.483328,211111
16379811,20200254,"VOC",5.029,5.4864,0.27432,750.222222222222,2.10299591910943,36.36264,211111
16379911,20200254,"SO2",0.026,6.096,0.3048,740.222222222222,3.61086800013343,49.487328,486210
16380111,20200254,"VOC",9.9,6.096,0.3048,742.444444444444,3.77652155269663,NA,211111
16380211,20200253,"VOC",0.984,4.2672,0.252984,671.888888888889,3.3371403708672,66.388488,211111
16380311,20200254,"VOC",1.414,6.7056,0.4572,730.222222222222,3.62691515709711,22.091904,486210
