Sector,VA.2008,VA.2011,VA.2014,VA.2016
Housing,1486052,1528968,1565852,1627815
Owner-occupied housing,1106991,1111523,1130116,1149775
Tenant-occupied housing,378648,417432,435614,477487
Other real estate,280679,358267,424924,409004
Rental and leasing services and lessors of intangible assets,190953,164525,187676,226659
Professional and business services,1852849,1879431,2078097,2180849
"Professional, scientific, and technical services",1128380,1139434,1241612,1318498
Legal services,274503,223896,207240,210842
Computer systems design and related services,168633,221085,271394,316972
"Miscellaneous professional, scientific, and technical services",693570,694959,763821,794367
"Accounting, tax preparation, bookkeeping, and payroll services",116152,115011,131935,139560
"Architectural, engineering, and related services",165121,161044,177005,170177
"Management, scientific, and technical consulting services",130448,140482,175997,195973
Scientific research and development services,91230,97872,100385,109576
"Advertising, public relations, and related services",86941,81966,73682,75832
"Specialized design services and other professional, scientific, and technical services",103527,98723,105040,104540
Management of companies and enterprises,272556,280748,337896,346847
Administrative and waste management services,452040,459263,498798,515670
Administrative and support services,410540,416038,455331,466591
Employment services,145263,167775,205816,214772
Services to buildings and dwellings,92407,87729,87115,85982
Other administrative and support services,173000,160606,162387,165934
Waste management and remediation services,41162,43233,43479,48968
"Educational services, health care, and social assistance",1300869,1384368,1451330,1533816
Educational services,190518,213408,213032,217940
Health care and social assistance,1109997,1170972,1238392,1316326
Ambulatory health care services,521607,562816,605607,669212
Offices of physicians,258891,272564,300662,332216
Offices of dentists,75179,73486,71036,74808
Offices of other health practitioners,52071,59141,63119,70680
Outpatient care centers,48513,55674,60637,70524
Other ambulatory health care services,87454,101991,110269,121096
Hospitals,372634,392291,402458,413448
Nursing and residential care facilities,122051,125194,130436,130733
Social assistance,93864,90676,100009,104362
"Arts, entertainment, recreation, accommodation, and food services",599209,606821,655033,673226
"Arts, entertainment, and recreation",153418,163464,182065,182269
"Performing arts, spectator sports, museums, and related activities",86717,94904,108076,105631
"Amusements, gambling, and recreation industries",66755,68580,73988,76650
Accommodation and food services,446049,443389,472993,490886
Accommodation,127422,127054,134180,139039
Food services and drinking places,318268,316333,338823,351813
"Other services, except government",374539,342799,354857,355215
Repair and maintenance,128028,116810,122914,124019
Personal and laundry services,109301,109218,115522,117673
"Religious, grantmaking, civic, professional, and similar organizations",117209,100196,96432,94811
Private households,19923,16576,20073,18830
Government,2169142,2175620,2139017,2161087
Federal,681732,717447,692918,699629
Federal general government,606336,664274,646965,645253
National defense,373390,411343,391588,381190
Nondefense,232950,252943,255292,263715
Government enterprises,76392,53179,45922,53923
State and local,1487930,1458180,1445805,1461129
State and local general government,1365333,1342989,1324697,1347830
State and local government educational services,746380,710151,684638,678919
State and local government hospitals and health services,119147,129836,137581,145254
State and local government other services,501667,503080,502665,524865
Government enterprises,125701,115169,121153,113900
