FIPS,PEC Annual Area,PEC Annual P150,PEC Annual P300,PEC Winter Area,PEC Winter P150,PEC Winter P300,PEC Spring Area,PEC Spring P150,PEC Spring P300,PEC Summer Area,PEC Summer P150,PEC Summer P300,PEC Fall Area,PEC Fall P150,PEC Fall P300,SO2 Annual Area,SO2 Annual P150,SO2 Annual P300,SO2 Winter Area,SO2 Winter P150,SO2 Winter P300,SO2 Spring Area,SO2 Spring P150,SO2 Spring P300,SO2 Summer Area,SO2 Summer P150,SO2 Summer P300,SO2 Fall Area,SO2 Fall P150,SO2 Fall P300,NOX Annual Area,NOX Annual P150,NOX Annual P300,NOX Winter Area,NOX Winter P150,NOX Winter P300,NOX Spring Area,NOX Spring P150,NOX Spring P300,NOX Summer Area,NOX Summer P150,NOX Summer P300,NOX Fall Area,NOX Fall P150,NOX Fall P300,NH3 Annual Area,NH3 Annual P150,NH3 Annual P300,NH3 Winter Area,NH3 Winter P150,NH3 Winter P300,NH3 Spring Area,NH3 Spring P150,NH3 Spring P300,NH3 Summer Area,NH3 Summer P150,NH3 Summer P300,NH3 Fall Area,NH3 Fall P150,NH3 Fall P300
48187,1.003906542,1.005616451,1.006063927,1.004609075,1.006969478,1.007646458,1.004208518,1.003855406,1.00417841,1.002307487,1.00361431,1.003817613,1.004195337,1.00668712,1.007287086,1.011742387,1.011209534,1.009197292,1.017433084,1.01829517,1.015361992,1.00668412,1.005215694,1.004875035,1.006103273,1.008723402,1.00405765,1.007166582,1.006443919,1.009037663,1.005290795,1.005934881,1.006178088,1.009292419,1.012871462,1.012912347,1.002996039,1.001862802,1.00185631,1.0012728,0.994673954,1.000053617,0.992805823,0.990283236,0.992526791,1.003087018,1.008298529,1.00974143,1.002065493,1.008205342,1.009627067,1.001874743,1.008267406,1.009028942,1.001208469,1.005782192,1.007081657,1.006022445,1.009364551,1.011182965
48189,1.003220075,1.005356096,1.005991441,1.003370371,1.00572149,1.006536889,1.003335809,1.003585893,1.0039575,1.001526316,1.002456609,1.002533018,1.003740903,1.006595917,1.007359566,1.009592057,1.008901026,1.009659127,1.015263084,1.016779779,1.015107686,1.005851864,1.004412573,1.003874646,1.003757975,1.001288424,1.002614669,1.006187515,1.003443474,1.008446004,1.002519169,1.004629483,1.006024301,1.007599834,1.011943162,1.011928969,1.001059954,0.999809527,1.00009753,1.00066937,0.998117476,0.998231317,0.991739512,0.985605897,0.991433448,1.002619445,1.007150679,1.009107449,1.001308588,1.006444507,1.008057299,1.001073173,1.003714355,1.004933289,1.000190811,1.002606617,1.003245278,1.005203337,1.010170203,1.012853177
48191,1.002714365,1.005174918,1.005837935,1.003074436,1.005561976,1.006345187,1.001634043,1.002905162,1.003314363,1.001158414,1.001773608,1.001845406,1.00332725,1.006401809,1.007208308,1.009482275,1.009945467,1.010703439,1.015601093,1.017174644,1.016787974,1.005637912,1.004320608,1.003994499,1.003817707,1.00019457,1.004023157,1.006472512,1.00783423,1.007966221,1.002952887,1.006813372,1.006696898,1.006929351,1.011499012,1.011494439,1.000603318,0.999494249,0.999829766,1.001379308,0.996673733,0.998155202,0.991806641,0.991312177,0.991228093,1.001701374,1.0056217,1.008802634,1.001163246,1.005677569,1.007186057,1.000730648,1.002333361,1.00362699,1.00018943,1.002237699,1.002693892,1.003089923,1.008140718,1.014302117
48193,1.003379422,1.005439455,1.005966761,1.00398375,1.006315667,1.00702691,1.002737997,1.00338829,1.003750508,1.00185361,1.0028834,1.003038007,1.00389224,1.00655003,1.007214853,1.010132785,1.009795534,1.009113774,1.016034998,1.017048225,1.015591583,1.005865983,1.004549926,1.003657605,1.005176187,1.004519813,1.004223629,1.006557784,1.006608616,1.008016969,1.003810025,1.006119003,1.006158332,1.007648056,1.012261461,1.012307554,1.001892449,1.000739695,1.000885833,1.001184341,0.995835416,0.999483444,0.992810931,0.990889898,0.992160339,1.001670671,1.006428827,1.008427491,1.001693753,1.007171566,1.008613163,1.001145843,1.004350093,1.005468349,1.000662668,1.003722462,1.004532492,1.002239391,1.007263047,1.010898839
48195,1.002692327,1.005008978,1.005661234,1.002994195,1.005314069,1.006098348,1.001683889,1.002906788,1.003284779,1.00109478,1.001832221,1.001887305,1.003307638,1.006219612,1.007013598,1.008864117,1.008611962,1.009343892,1.014348517,1.015892498,1.015256102,1.005564421,1.004206812,1.003400255,1.003448659,1.000875042,1.002283047,1.006037566,1.004862174,1.007768009,1.00220719,1.004580553,1.005428995,1.006995332,1.010866526,1.010904313,1.000327981,0.999429929,0.99987042,1.000493519,1.000048048,0.99758157,0.991839952,0.987464431,0.991449604,1.002412046,1.006316361,1.00900128,1.001088938,1.005651005,1.007187392,1.000711326,1.002618178,1.002241163,0.999999338,1.001982395,1.002449091,1.004537495,1.008815179,1.013479589
48197,1.002780776,1.005165994,1.005789208,1.003139221,1.005572816,1.006329691,1.001565575,1.002975109,1.003393089,1.001295666,1.001941936,1.002047714,1.003392322,1.006326658,1.00708759,1.009500193,1.010042451,1.010845483,1.01565835,1.017403791,1.017488058,1.005549968,1.004280059,1.003678489,1.003805086,1.000180181,1.003542476,1.006329019,1.007546382,1.007542742,1.00330932,1.006964088,1.006892712,1.006947779,1.011426123,1.01144245,1.000483881,0.999427499,0.999789228,1.001230951,0.997194237,0.998127378,0.991846743,0.990883646,0.991279655,1.000841881,1.005011438,1.00813013,1.001193197,1.005761988,1.007241889,1.000757011,1.001984238,1.003802132,1.000057805,1.002140842,1.002618783,1.000736187,1.006071248,1.012038996
48199,1.0034818,1.00545708,1.005915973,1.004456434,1.00683314,1.007480889,1.002804109,1.003315956,1.003662723,1.001757518,1.002808024,1.002964736,1.003893119,1.006468236,1.007094892,1.010560821,1.010776785,1.009277133,1.017363094,1.018162317,1.016444153,1.005955086,1.004648597,1.004806576,1.006002888,1.007567442,1.005413498,1.007222203,1.009191636,1.0086276,1.004309596,1.006214763,1.005927572,1.008195085,1.012803756,1.012812378,1.001930361,1.001115932,1.001310353,1.002067211,0.997219758,0.99992831,0.993009588,0.994325119,0.992572175,1.002606124,1.007375602,1.009050666,1.001952209,1.00782892,1.009171877,1.001175212,1.005301409,1.004592953,1.001658931,1.005195071,1.006249076,1.004917157,1.008674261,1.012940317
48201,1.004334151,1.00565423,1.006011833,1.004889858,1.00671926,1.007351076,1.004615993,1.004540124,1.004840325,1.003075169,1.004717407,1.005006589,1.004651939,1.006236945,1.006604807,1.009956928,1.009585324,1.007984604,1.01676632,1.017355814,1.014552624,1.006591247,1.005189982,1.005227802,1.00641614,1.008456049,1.00515403,1.006843771,1.006824897,1.008345807,1.003609344,1.003732772,1.004124787,1.007767865,1.013149564,1.013162631,1.003368633,1.002268499,1.002221888,1.001337651,0.995887375,1.001313045,0.993755859,0.99213599,0.992907902,1.002617516,1.008044909,1.009060724,1.00241908,1.008718478,1.010016785,1.00244246,1.009267691,1.010810774,1.002432552,1.007059703,1.008662107,1.003138002,1.006147138,1.005105487
48203,1.003168652,1.005107849,1.005580846,1.00401315,1.006269489,1.006913067,1.002530677,1.003237335,1.003583607,1.001822083,1.002887635,1.003055098,1.003588387,1.006171534,1.006821343,1.009362583,1.009732834,1.00895132,1.016334565,1.01742385,1.01702556,1.005423745,1.004295056,1.004362215,1.005218134,1.004869258,1.004815155,1.007030538,1.01035977,1.007730656,1.00409008,1.006618594,1.00637447,1.007144018,1.012115791,1.012121424,1.001970257,1.000819036,1.000885754,1.002406573,0.993989883,0.999649567,0.992774141,0.994629587,0.992209833,1.001613826,1.005958626,1.008735992,1.001649741,1.007085345,1.008399654,1.001010271,1.004207663,1.006259585,1.000938044,1.003576811,1.004546915,1.002319263,1.006746531,1.013699478
48205,1.002873365,1.005172902,1.005851159,1.003073833,1.005459173,1.006277138,1.002448213,1.003128719,1.003498891,1.001068146,1.001855825,1.001887313,1.003455305,1.006448167,1.007268401,1.009191197,1.008829703,1.009264315,1.014711835,1.016289775,1.015037224,1.005897119,1.004459908,1.004405426,1.003685395,1.00207596,1.00208271,1.006087238,1.004498701,1.007814242,1.002490655,1.004686926,1.005815052,1.007304857,1.011268902,1.011247374,1.000824733,0.999712264,1.000046661,1.000591662,0.999785706,0.997588817,0.991446423,0.986127333,0.991012999,1.000378096,1.005168768,1.007814807,1.001111447,1.005876052,1.007469654,1.000769436,1.003049255,1.002806093,1.000037222,1.002092954,1.002653868,0.999762835,1.005690171,1.010250081
