FIPS,PEC Annual Area,PEC Annual P150,PEC Annual P300,PEC Winter Area,PEC Winter P150,PEC Winter P300,PEC Spring Area,PEC Spring P150,PEC Spring P300,PEC Summer Area,PEC Summer P150,PEC Summer P300,PEC Fall Area,PEC Fall P150,PEC Fall P300,SO2 Annual Area,SO2 Annual P150,SO2 Annual P300,SO2 Winter Area,SO2 Winter P150,SO2 Winter P300,SO2 Spring Area,SO2 Spring P150,SO2 Spring P300,SO2 Summer Area,SO2 Summer P150,SO2 Summer P300,SO2 Fall Area,SO2 Fall P150,SO2 Fall P300,NOX Annual Area,NOX Annual P150,NOX Annual P300,NOX Winter Area,NOX Winter P150,NOX Winter P300,NOX Spring Area,NOX Spring P150,NOX Spring P300,NOX Summer Area,NOX Summer P150,NOX Summer P300,NOX Fall Area,NOX Fall P150,NOX Fall P300,NH3 Annual Area,NH3 Annual P150,NH3 Annual P300,NH3 Winter Area,NH3 Winter P150,NH3 Winter P300,NH3 Spring Area,NH3 Spring P150,NH3 Spring P300,NH3 Summer Area,NH3 Summer P150,NH3 Summer P300,NH3 Fall Area,NH3 Fall P150,NH3 Fall P300
48015,94400.61963,55281.40806,47045.44524,111438.9565,69070.70299,57163.33135,85075.68468,46900.908,42151.13979,84347.79169,44152.33777,39244.66916,96740.04568,61001.68346,49622.64067,16424.00969,16086.53873,15320.10046,26785.4529,23328.56188,17163.70017,16420.54852,16753.78948,16929.27707,11070.19527,12214.69536,14857.24958,11419.84206,12049.10822,12330.17504,5213.696272,3696.223934,3317.406284,10932.21302,6909.472002,5855.519658,5489.583693,3965.98162,3683.459637,1295.52469,1176.839898,1004.248909,3137.463684,2732.602217,2726.39693,33621.94988,21457.83085,17497.89437,66358.27455,42283.16592,33301.21591,18258.03968,11695.70196,10889.63208,13955.70296,8208.366169,6913.930293,35915.78232,23644.08937,18886.7992
48017,22967.98787,16445.29001,15281.96883,30095.08026,21638.10035,20031.76795,13083.44796,8472.469993,8094.974459,14120.81833,9255.63964,8628.430906,34572.60495,26414.95005,24372.70201,8268.99074,9390.057836,9329.315082,13050.97358,14771.08499,14245.66112,5184.943552,5869.633706,6289.584572,5831.438914,6770.321984,6684.371266,9008.606908,10149.19066,10097.64336,1671.105075,1474.434489,1342.585956,3751.524146,3313.039539,3021.004444,441.2874767,371.846271,364.464154,220.1984808,230.417583,251.5100584,2271.410196,1982.434563,1733.365166,7546.041229,7384.447805,7219.266382,11770.28274,11204.45131,10617.07546,3057.401373,2911.415154,3123.975453,2964.069495,3097.205925,3084.276056,12392.41131,12324.71883,12051.73855
48019,48540.08662,30913.04889,26876.80066,61410.87984,40780.67578,35369.13681,37857.9988,21866.90002,20147.40945,37751.81445,21169.55765,18991.08584,57139.65339,39835.06211,32999.57054,11018.57546,11289.19662,10961.44177,18454.93858,17633.00074,15331.61522,9546.775886,10152.00941,10138.22087,7977.49294,8597.407712,9125.605194,8095.094441,8774.368612,9250.325779,1807.018341,1464.153186,1346.983658,4578.877731,3657.644625,3274.496022,1377.633048,1039.230107,1007.537286,372.7551461,381.151067,394.9224366,898.8074391,778.5869426,710.9788856,20449.27495,14052.41827,12283.45511,36747.08164,24933.71794,21643.3883,11924.5826,7872.84906,7565.136767,10666.62075,7394.297557,5998.824699,22458.81482,16008.80853,13926.4707
48021,97120.03685,56092.85759,47607.43568,113940.7141,68698.73552,56771.15778,86727.93476,47768.25197,42932.40641,86606.979,45013.65398,39998.92493,101204.5195,62890.78891,50727.25359,15587.73536,15636.95917,14988.70693,26416.7906,23343.5597,17891.55266,14361.58387,15814.77906,15968.14588,10508.55182,11615.56176,13868.36586,11064.01516,11773.93614,12226.76332,4293.664325,3234.233674,2921.350894,9803.447868,6716.23798,5708.101786,3842.536977,3030.174752,2865.418725,957.604893,980.5708845,962.6957375,2571.067562,2209.951078,2149.187328,34529.61527,21643.21209,17411.2297,67091.73449,41570.3403,32785.88446,16782.71494,10384.94847,9554.089542,16530.18718,9981.816935,7948.722962,37713.82448,24635.74268,19356.22185
48023,37616.39346,26150.47239,24280.81828,51602.46242,37927.09534,33846.09915,23374.55822,14676.43756,13897.50811,22602.41768,13702.52923,12541.86624,52886.13551,38295.82742,36837.79962,10529.64547,11522.56136,11776.18967,14462.83596,15150.07698,16866.06448,8304.124374,9368.112318,9575.827273,8804.63677,9280.98582,8526.833479,10546.98476,12291.07032,12136.03344,2551.197478,2228.57993,1976.551789,6532.75926,5614.847736,4946.854325,882.5742079,693.0125075,680.2055092,295.3947475,302.7987,235.5172734,2494.061698,2303.660776,2043.630047,13790.91665,13177.84671,12591.16834,23497.02981,21747.20391,19619.81707,6129.920439,5614.248127,5871.240691,8076.19156,7905.928564,7268.648115,17460.52479,17444.00624,17604.96747
48025,53345.14251,35498.7856,31164.9969,63449.0391,46093.68269,39980.03523,46144.09278,28508.82073,26758.24558,47367.64057,26630.78762,23969.85498,56419.79761,40761.85137,33951.85181,14422.85188,14347.67018,13138.70807,26231.23278,23597.25689,17391.23809,12734.56936,13792.20172,13593.68608,8305.753443,8987.349205,10691.29454,10419.85193,11013.8729,10878.61359,2544.976356,2144.929347,1964.499761,6162.003146,5121.716378,4422.877111,2208.942004,1754.317154,1721.028479,529.2675061,532.2368225,531.5293347,1279.692768,1171.447032,1182.564118,18912.01589,13976.28843,12246.01164,36080.93007,27587.16429,24095.58136,10264.20908,7554.343072,7244.398322,8474.172211,5330.340454,4307.632437,20828.75219,15433.30589,13336.43443
48027,88874.99113,51367.14028,44061.7624,106516.271,65190.87391,54251.65169,76175.17141,40864.71058,36610.37371,74305.78264,38329.05518,34016.74668,98502.73944,61083.92146,51368.27754,14211.11744,14373.56116,14019.14544,23672.63494,21570.17285,18347.26532,12527.13947,13493.56425,13766.44075,10524.84282,11393.58825,12262.43723,10119.85251,11036.9193,11700.43848,3966.350063,2966.173686,2613.406073,9628.153307,6797.886645,5788.665818,3005.089839,2214.291494,2079.220715,712.7163216,743.3953516,627.0407096,2519.440785,2109.121252,1958.697052,33556.43896,22620.40332,18697.61856,60185.35856,40632.00991,32406.38425,18496.16508,11737.61103,11067.43338,19278.51537,13039.31865,10381.73981,36265.71683,25072.67369,20934.9168
48029,133969.4993,68525.93297,56229.79372,155759.6885,80941.47707,64666.05813,120402.0036,58998.06046,51618.74683,121457.0459,57210.64446,49768.25454,138259.2592,76953.5499,58866.11536,13009.89938,12936.47525,12160.17954,21427.36693,19320.17906,14652.31237,12116.1074,12823.11048,12787.74852,8739.707513,9455.899798,10937.14833,9756.415658,10146.71168,10263.50893,3342.550746,2508.87104,2270.543675,7517.77898,5048.075968,4379.313633,2933.089073,2267.012339,2172.313673,717.5988108,751.2987781,669.2149399,2201.736119,1969.097075,1861.332456,51980.14428,24906.49068,18515.62812,97423.2039,45256.00902,33518.15508,29985.64897,13583.39437,11622.19704,30605.16707,14340.28163,10091.87154,49906.55718,26446.27769,18830.28883
48031,69476.43159,41695.87795,35582.71076,85847.53539,53942.93986,45508.08746,54948.71935,30459.73592,27591.00342,56006.49086,29972.62118,26637.51496,81102.98074,52408.21485,42594.23719,12471.97994,12584.19026,12328.46665,18713.63709,17167.12011,14839.26015,11439.81535,12219.38528,12100.99009,9747.934759,10407.21574,11344.527,9986.532564,10543.03992,11029.08937,2768.442592,2122.788312,1923.086378,6427.607013,4545.406188,4005.127225,2153.22885,1631.501821,1557.876861,586.263207,608.5873279,592.2550962,1906.671297,1705.657912,1537.086331,29255.93077,18789.64655,15608.86478,51939.68757,33205.61401,27362.79419,17076.73259,10440.89013,9755.363192,16654.27279,10848.54283,8474.578557,31353.03012,20663.53925,16842.72317
48033,26368.17162,19045.96308,17690.56008,35029.41408,26383.7458,24159.65797,14991.07254,9737.789785,9379.730176,16223.13055,10282.50636,9514.93578,39229.06932,29779.81037,27707.91638,8558.880637,9494.06544,9741.715844,12125.61018,13183.75074,14891.77774,6041.913797,7027.956891,7108.54949,7272.059692,7747.948693,6880.414183,8795.938881,10016.60544,10086.12196,1380.18438,1297.358726,1197.649441,3591.418512,3408.473277,3112.32492,427.1863872,365.7781293,365.734398,195.0150863,210.4798417,207.5880115,1307.117533,1204.703658,1104.950433,10497.88153,9865.133211,9635.978557,15896.66556,14718.00242,14009.64951,5193.90053,4639.109771,4829.059177,6642.678484,6328.900758,5899.758456,14258.28156,13774.51989,13805.44709
